Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
35;1;Suduva;27;15;8;4;46;24;22;53;1.963
35;2;Kauno Zalgiris;26;13;9;4;56;18;38;48;1.846
35;3;Transinvest;28;13;6;9;45;34;11;45;1.607
35;4;Banga;26;11;8;7;36;23;13;41;1.577
35;5;Dziugas Telsiai;26;11;7;8;37;34;3;40;1.538
35;6;Zalgiris;25;11;5;9;34;30;4;38;1.52
35;7;FK Panevezys;28;11;5;12;33;39;-6;38;1.357
35;8;Hegelmann;25;4;11;10;27;43;-16;23;0.92
35;9;FA Siauliai;26;4;6;16;26;55;-29;18;0.692
35;10;Riteriai;17;0;3;14;5;45;-40;3;0.176
