Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
10;1;Guadalajara;9;5;3;1;17;8;9;18;2.0
10;2;Club America;8;5;2;1;17;8;9;17;2.125
10;3;Toluca;9;5;1;3;19;11;8;16;1.778
10;4;Cruz Azul;9;5;0;4;16;15;1;15;1.667
10;5;Queretaro;8;4;2;2;11;8;3;14;1.75
10;6;Leon;9;4;2;3;12;10;2;14;1.556
10;7;Tijuana;8;4;2;2;12;10;2;14;1.75
10;8;Puebla;9;4;2;3;11;11;0;14;1.556
10;9;Atlas;9;4;2;3;13;15;-2;14;1.556
10;10;Monterrey;8;4;1;3;14;10;4;13;1.625
10;11;Pachuca;9;3;3;3;15;10;5;12;1.333
10;12;U.N.A.M.;9;3;3;3;12;13;-1;12;1.333
10;13;Necaxa;9;3;2;4;12;15;-3;11;1.222
10;14;Atl. San Luis;9;2;3;4;11;16;-5;9;1.0
10;15;Atlante;9;1;5;3;8;13;-5;8;0.889
10;16;Tigres;9;1;4;4;9;13;-4;7;0.778
10;17;Santos Laguna;9;2;1;6;9;15;-6;7;0.778
10;18;Juarez;9;1;0;8;6;23;-17;3;0.333
