Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
8;1;Heracles;6;6;0;0;24;9;15;18;3.0
8;2;Almere City;6;4;1;1;15;4;11;13;2.167
8;3;Maastricht;6;4;1;1;9;9;0;13;2.167
8;4;Venlo;6;4;0;2;16;10;6;12;2.0
8;5;FC Emmen;6;4;0;2;16;14;2;12;2.0
8;6;Jong PSV;8;3;3;2;13;13;0;12;1.5
8;7;Roda;6;3;2;1;7;5;2;11;1.833
8;8;Waalwijk;6;2;4;0;12;8;4;10;1.667
8;9;Jong AZ;8;3;1;4;18;16;2;10;1.25
8;10;Vitesse;6;3;1;2;10;8;2;10;1.667
8;11;FC Volendam;6;3;0;3;16;10;6;9;1.5
8;12;Helmond;6;2;2;2;12;10;2;8;1.333
8;13;Breda;6;2;1;3;11;14;-3;7;1.167
8;14;Jong Utrecht;8;2;1;5;14;18;-4;7;0.875
8;15;Eindhoven;6;2;1;3;8;12;-4;7;1.167
8;16;Jong Ajax;8;2;1;5;13;22;-9;7;0.875
8;17;Den Bosch;6;1;1;4;10;15;-5;4;0.667
8;18;Dordrecht;6;1;1;4;9;18;-9;4;0.667
8;19;De Graafschap;6;1;1;4;7;18;-11;4;0.667
8;20;Oss;6;1;0;5;5;12;-7;3;0.5
