Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Newington;5;4;1;0;14;5;9;13;2.6
5;2;H&W Welders;5;4;0;1;9;3;6;12;2.4
5;3;Glenavon;5;3;1;1;14;8;6;10;2.0
5;4;Queens Univ.;5;3;1;1;11;5;6;10;2.0
5;5;Annagh;5;3;1;1;12;9;3;10;2.0
5;6;Loughgall;5;2;3;0;10;7;3;9;1.8
5;7;Newry City;5;3;0;2;7;9;-2;9;1.8
5;8;Ards;5;2;1;2;9;9;0;7;1.4
5;9;Warrenpoint;5;2;1;2;9;9;0;7;1.4
5;10;Moyola;5;2;1;2;6;7;-1;7;1.4
5;11;Ballinamallard;5;2;0;3;5;8;-3;6;1.2
5;12;Institute;5;1;1;3;4;9;-5;4;0.8
5;13;Dundela;5;0;3;2;7;10;-3;3;0.6
5;14;Strabane Athletic;5;1;0;4;6;10;-4;3;0.6
5;15;Armagh;5;0;2;3;3;7;-4;2;0.4
5;16;Rathfriland;5;0;0;5;5;16;-11;0;0.0
