Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;Kongsvinger 2;1;1;0;0;3;0;3;3;3.0
1;2;Skedsmo;1;1;0;0;3;0;3;3;3.0
1;3;Alta;1;1;0;0;2;1;1;3;3.0
1;4;Skjervoy;1;1;0;0;1;0;1;3;3.0
1;5;Fauske Sprint;1;0;1;0;3;3;0;1;1.0
1;6;Ulfstind;1;0;1;0;3;3;0;1;1.0
1;7;Finnsnes;1;0;1;0;2;2;0;1;1.0
1;8;Floya;1;0;1;0;2;2;0;1;1.0
1;9;Skjetten;1;0;1;0;1;1;0;1;1.0
1;10;Tromsø 2;1;0;1;0;1;1;0;1;1.0
1;11;Harstad;1;0;0;1;1;2;-1;0;0.0
1;12;Lillestrom 2;1;0;0;1;0;1;-1;0;0.0
1;13;Bossekop;1;0;0;1;0;3;-3;0;0.0
1;14;Strømsgodset 2;1;0;0;1;0;3;-3;0;0.0
2;1;Kongsvinger 2;2;2;0;0;6;1;5;6;3.0
2;2;Skjervoy;2;2;0;0;3;0;3;6;3.0
2;3;Ulfstind;2;1;1;0;8;5;3;4;2.0
2;4;Fauske Sprint;2;1;1;0;6;5;1;4;2.0
2;5;Alta;2;1;1;0;2;1;1;4;2.0
2;6;Harstad;2;1;0;1;6;3;3;3;1.5
2;7;Skedsmo;2;1;0;1;5;5;0;3;1.5
2;8;Strømsgodset 2;2;1;0;1;3;4;-1;3;1.5
2;9;Floya;2;0;2;0;2;2;0;2;1.0
2;10;Skjetten;2;0;1;1;2;4;-2;1;0.5
2;11;Tromsø 2;2;0;1;1;1;3;-2;1;0.5
2;12;Finnsnes;2;0;1;1;3;7;-4;1;0.5
2;13;Lillestrom 2;2;0;0;2;1;4;-3;0;0.0
2;14;Bossekop;2;0;0;2;2;6;-4;0;0.0
3;1;Alta;3;2;1;0;6;1;5;7;2.333
3;2;Fauske Sprint;3;2;1;0;8;6;2;7;2.333
3;3;Strømsgodset 2;3;2;0;1;8;4;4;6;2.0
3;4;Kongsvinger 2;3;2;0;1;7;3;4;6;2.0
3;5;Skedsmo;3;2;0;1;9;7;2;6;2.0
3;6;Skjervoy;3;2;0;1;3;3;0;6;2.0
3;7;Floya;3;1;2;0;5;4;1;5;1.667
3;8;Ulfstind;3;1;1;1;8;9;-1;4;1.333
3;9;Finnsnes;3;1;1;1;6;7;-1;4;1.333
3;10;Harstad;3;1;0;2;8;7;1;3;1.0
3;11;Lillestrom 2;3;1;0;2;4;5;-1;3;1.0
3;12;Tromsø 2;3;0;1;2;3;6;-3;1;0.333
3;13;Skjetten;3;0;1;2;3;7;-4;1;0.333
3;14;Bossekop;3;0;0;3;2;11;-9;0;0.0
4;1;Alta;4;2;2;0;7;2;5;8;2.0
4;2;Floya;4;2;2;0;9;5;4;8;2.0
4;3;Fauske Sprint;4;2;2;0;11;9;2;8;2.0
4;4;Strømsgodset 2;4;2;1;1;11;7;4;7;1.75
4;5;Kongsvinger 2;4;2;1;1;8;4;4;7;1.75
4;6;Finnsnes;4;2;1;1;9;7;2;7;1.75
4;7;Lillestrom 2;4;2;0;2;10;6;4;6;1.5
4;8;Skedsmo;4;2;0;2;9;10;-1;6;1.5
4;9;Skjervoy;4;2;0;2;4;7;-3;6;1.5
4;10;Harstad;4;1;1;2;9;8;1;4;1.0
4;11;Skjetten;4;1;1;2;8;10;-2;4;1.0
4;12;Ulfstind;4;1;1;2;11;14;-3;4;1.0
4;13;Tromsø 2;4;0;2;2;4;7;-3;2;0.5
4;14;Bossekop;4;0;0;4;3;17;-14;0;0.0
5;1;Floya;5;3;2;0;11;6;5;11;2.2
5;2;Kongsvinger 2;5;3;1;1;12;7;5;10;2.0
5;3;Lillestrom 2;5;3;0;2;13;8;5;9;1.8
5;4;Alta;5;2;3;0;11;6;5;9;1.8
5;5;Fauske Sprint;5;2;3;0;15;13;2;9;1.8
5;6;Skedsmo;5;3;0;2;12;10;2;9;1.8
5;7;Finnsnes;5;2;1;2;11;10;1;7;1.4
5;8;Strømsgodset 2;5;2;1;2;11;10;1;7;1.4
5;9;Skjetten;5;2;1;2;10;11;-1;7;1.4
5;10;Skjervoy;5;2;0;3;5;9;-4;6;1.2
5;11;Harstad;5;1;1;3;10;10;0;4;0.8
