Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
18;1;Tromsø;14;8;4;2;22;14;8;28;2.0
18;2;Viking;10;9;0;1;29;10;19;27;2.7
18;3;Bodo/Glimt;11;7;2;2;28;11;17;23;2.091
18;4;Lilleström;12;7;1;4;19;11;8;22;1.833
18;5;Molde;12;6;2;4;20;15;5;20;1.667
18;6;HamKam;10;5;2;3;17;16;1;17;1.7
18;7;Sarpsborg 08;11;4;2;5;13;16;-3;14;1.273
18;8;Sandefjord;11;4;2;5;10;13;-3;14;1.273
18;9;Fredrikstad;12;4;2;6;15;22;-7;14;1.167
18;10;Vålerenga;12;4;2;6;13;21;-8;14;1.167
18;11;Brann;12;4;1;7;24;20;4;13;1.083
18;12;Aalesund;12;2;6;4;17;22;-5;12;1.0
18;13;KFUM Oslo;11;3;3;5;12;17;-5;12;1.091
18;14;Kristiansund;11;3;2;6;11;18;-7;11;1.0
18;15;Rosenborg;11;2;3;6;9;18;-9;9;0.818
18;16;Start;12;1;4;7;13;28;-15;7;0.583
