Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
22;1;Haugesund;22;16;1;5;68;37;31;49;2.227
22;2;Kongsvinger;22;14;5;3;63;34;29;47;2.136
22;3;Strömsgodset;22;13;6;3;58;31;27;45;2.045
22;4;Stabaek;22;13;3;6;55;28;27;42;1.909
22;5;Hodd;22;10;4;8;37;40;-3;34;1.545
22;6;Odd;22;9;6;7;42;35;7;33;1.5
22;7;Bryne;22;10;2;10;28;31;-3;32;1.455
22;8;Egersund;22;8;5;9;35;39;-4;29;1.318
22;9;Lyn;22;8;4;10;38;44;-6;28;1.273
22;10;Ranheim;22;7;4;11;52;57;-5;25;1.136
22;11;Strømmen;22;7;4;11;33;48;-15;25;1.136
22;12;Sandnes;22;7;3;12;31;40;-9;24;1.091
22;13;Sogndal;22;6;5;11;37;51;-14;23;1.045
22;14;Moss;22;6;4;12;36;51;-15;22;1.0
22;15;Åsane;22;5;5;12;34;48;-14;20;0.909
22;16;Raufoss;22;6;1;15;26;59;-33;19;0.864
