Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
2;1;Los Chankas;2;2;0;0;4;2;2;6;3.0
2;2;Cusco;1;1;0;0;4;1;3;3;3.0
2;3;Grau;1;1;0;0;3;1;2;3;3.0
2;4;Melgar;1;1;0;0;3;1;2;3;3.0
2;5;A. Lima;1;1;0;0;2;1;1;3;3.0
2;6;U. de Deportes;1;1;0;0;2;1;1;3;3.0
2;7;Sporting Cristal;1;1;0;0;1;0;1;3;3.0
2;8;FC Cajamarca;1;0;1;0;2;2;0;1;1.0
2;9;Juan Pablo II;1;0;1;0;2;2;0;1;1.0
2;10;Moquegua;1;0;1;0;2;2;0;1;1.0
2;11;Comerciantes Unidos;2;0;1;1;4;5;-1;1;0.5
2;12;AD Tarma;1;0;0;1;1;2;-1;0;0.0
2;13;Huancayo;1;0;0;1;1;2;-1;0;0.0
2;14;Deportivo Garcilaso;1;0;0;1;0;1;-1;0;0.0
2;15;Sport Boys;1;0;0;1;0;1;-1;0;0.0
2;16;Cajamarca;1;0;0;1;1;3;-2;0;0.0
2;17;Cienciano;1;0;0;1;1;3;-2;0;0.0
2;18;Alianza Atl.;1;0;0;1;1;4;-3;0;0.0
