Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
8;1;LKS Lodz;8;4;3;1;13;7;6;15;1.875
8;2;Grodzisk M.;8;4;3;1;13;8;5;15;1.875
8;3;Legnica;8;4;2;2;12;6;6;14;1.75
8;4;Chrobry Glogow;8;3;3;2;11;6;5;12;1.5
8;5;Warta Poznan;8;4;0;4;14;11;3;12;1.5
8;6;Polonia W.;8;3;2;3;13;12;1;11;1.375
8;7;Arka;8;3;2;3;10;9;1;11;1.375
8;8;Ruch;8;3;2;3;9;11;-2;11;1.375
8;9;S. Rzeszow;8;3;2;3;7;13;-6;11;1.375
8;10;Termalica B-B.;7;3;1;3;11;11;0;10;1.429
8;11;Lechia;8;3;1;4;10;14;-4;10;1.25
8;12;Pogon Siedlce;7;2;3;2;7;6;1;9;1.286
8;13;Odra Opole;8;2;3;3;7;8;-1;9;1.125
8;14;Stal Mielec;7;2;3;2;12;14;-2;9;1.286
8;15;Skierniewice;8;3;0;5;9;14;-5;9;1.125
8;16;Polonia B.;8;1;5;2;14;17;-3;8;1.0
8;17;Podbeskidzie;8;0;7;1;11;13;-2;7;0.875
8;18;Puszcza;7;2;0;5;6;9;-3;6;0.857
