Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
3;1;Varzim;3;3;0;0;7;2;5;9;3.0
3;2;AD Marco 09;3;2;0;1;5;3;2;6;2.0
3;3;Paredes;3;2;0;1;5;3;2;6;2.0
3;4;Fafe;2;1;1;0;3;1;2;4;2.0
3;5;SC Vianense;3;1;1;1;2;2;0;4;1.333
3;6;Leca;3;1;1;1;3;4;-1;4;1.333
3;7;Mafra;1;1;0;0;5;0;5;3;3.0
3;8;Covilha;1;1;0;0;2;0;2;3;3.0
3;9;Atletico;1;1;0;0;1;0;1;3;3.0
3;10;Os Belenenses;1;1;0;0;1;0;1;3;3.0
3;11;Guimaraes B;2;1;0;1;3;3;0;3;1.5
3;12;Trofense;3;1;0;2;1;3;-2;3;1.0
3;13;Louletano;1;0;1;0;0;0;0;1;1.0
3;14;Oliveirense;1;0;1;0;0;0;0;1;1.0
3;15;S. Joao Ver;3;0;1;2;2;5;-3;1;0.333
3;16;Caldas;1;0;0;1;0;1;-1;0;0.0
3;17;Lusitano GC;1;0;0;1;0;1;-1;0;0.0
3;18;Santarem;1;0;0;1;0;2;-2;0;0.0
3;19;Ferreira;3;0;0;3;2;7;-5;0;0.0
3;20;Vitoria Sernache;1;0;0;1;0;5;-5;0;0.0
