Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
4;1;Rapid Bucarest;4;2;2;0;5;2;3;8;2.0
4;2;Din. Bucuresti;4;2;1;1;10;3;7;7;1.75
4;3;FCSB;3;2;1;0;6;2;4;7;2.333
4;4;Farul Constanta;4;2;1;1;8;6;2;7;1.75
4;5;U. Cluj;3;2;0;1;4;3;1;6;2.0
4;6;FC Arges;3;2;0;1;2;2;0;6;2.0
4;7;Corvinul;3;1;1;1;4;3;1;4;1.333
4;8;Sepsi Sf. Gheorghe;3;1;1;1;2;2;0;4;1.333
4;9;FC Voluntari;4;1;1;2;3;11;-8;4;1.0
4;10;CFR Cluj;2;1;0;1;6;3;3;3;1.5
4;11;Univ. Craiova;2;1;0;1;5;5;0;3;1.5
4;12;Petrolul;3;1;0;2;1;5;-4;3;1.0
4;13;Otelul;2;0;2;0;3;3;0;2;1.0
4;14;Botosani;3;0;2;1;4;5;-1;2;0.667
4;15;UTA Arad;3;0;2;1;2;3;-1;2;0.667
4;16;Csikszereda M. Ciuc;4;0;0;4;2;9;-7;0;0.0
