Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
11;1;Pari NN;11;9;1;1;30;14;16;28;2.545
11;2;Sochi;11;7;1;3;20;13;7;22;2.0
11;3;Veles Moscow;11;7;1;3;15;13;2;22;2.0
11;4;S. Kostroma;10;6;3;1;14;8;6;21;2.1
11;5;Torpedo Moscow;10;6;1;3;20;8;12;19;1.9
11;6;Ural;10;5;4;1;17;5;12;19;1.9
11;7;Ufa;10;4;5;1;15;11;4;17;1.7
11;8;Yaroslavl;10;3;6;1;15;12;3;15;1.5
11;9;R. Volgograd;11;4;2;5;18;14;4;14;1.273
11;10;Arsenal Tula;11;3;4;4;11;19;-8;13;1.182
11;11;Neftekhimik;11;4;0;7;7;14;-7;12;1.091
11;12;Ulyanovsk;10;3;2;5;14;16;-2;11;1.1
11;13;Leningradets;10;2;4;4;9;14;-5;10;1.0
11;14;Yenisey;10;2;4;4;11;18;-7;10;1.0
11;15;Chelyabinsk;10;2;2;6;10;17;-7;8;0.8
11;16;Tekstilshtik;11;1;4;6;8;17;-9;7;0.636
11;17;Kamaz;11;1;3;7;10;19;-9;6;0.545
11;18;SKA Khabarovsk;10;1;1;8;10;22;-12;4;0.4
