Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
8;1;Krasnodar;8;6;2;0;14;7;7;20;2.5
8;2;Sp. Mosca;8;5;1;2;15;7;8;16;2.0
8;3;CSKA Mosca;8;4;4;0;12;8;4;16;2.0
8;4;Din. Mosca;8;5;1;2;11;8;3;16;2.0
8;5;Zenit;8;5;0;3;16;7;9;15;1.875
8;6;Dynamo Makhachkala;8;4;0;4;14;13;1;12;1.5
8;7;Baltika;8;3;2;3;12;9;3;11;1.375
8;8;Kazan;8;2;5;1;11;10;1;11;1.375
8;9;Akhmat Grozny;8;2;4;2;13;11;2;10;1.25
8;10;Samara;8;2;4;2;12;13;-1;10;1.25
8;11;Orenburg;8;1;5;2;7;10;-3;8;1.0
8;12;FK Rostov;8;2;2;4;10;14;-4;8;1.0
8;13;Lok. Mosca;8;1;3;4;7;10;-3;6;0.75
8;14;Akron Togliatti;8;0;5;3;9;18;-9;5;0.625
8;15;Rodina Moscow;8;1;1;6;9;21;-12;4;0.5
8;16;F. Voronezh;8;0;3;5;6;12;-6;3;0.375
