Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
3;1;Al Qadsiah;3;3;0;0;8;2;6;9;3.0
3;2;Al-Hilal;2;2;0;0;7;2;5;6;3.0
3;3;Al Nassr FC;2;2;0;0;6;2;4;6;3.0
3;4;Al Kholood;3;1;2;0;5;3;2;5;1.667
3;5;Al-Ittihad FC;3;1;2;0;4;3;1;5;1.667
3;6;Al Diriyah;3;1;1;1;4;2;2;4;1.333
3;7;Al Hazem;3;1;1;1;5;5;0;4;1.333
3;8;Al Ahli SC;2;1;0;1;2;3;-1;3;1.5
3;9;Neom SC;2;1;0;1;2;3;-1;3;1.5
3;10;Al-Ettifaq;3;1;0;2;6;8;-2;3;1.0
3;11;Al Khaleej;2;0;2;0;1;1;0;2;1.0
3;12;Al-Taawon;2;0;2;0;0;0;0;2;1.0
3;13;Al Shabab;3;0;2;1;5;7;-2;2;0.667
3;14;Al Fateh;3;0;2;1;1;4;-3;2;0.667
3;15;Abha;2;0;1;1;2;3;-1;1;0.5
3;16;Al Riyadh;2;0;1;1;5;7;-2;1;0.5
3;17;Al-Faysaly;3;0;1;2;4;8;-4;1;0.333
3;18;Al Fayha;3;0;1;2;1;5;-4;1;0.333
