Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
3;1;Smederevo;3;3;0;0;9;4;5;9;3.0
3;2;Napredak;3;3;0;0;4;1;3;9;3.0
3;3;TSC;3;2;1;0;5;3;2;7;2.333
3;4;Dubocica;3;2;1;0;4;2;2;7;2.333
3;5;Sp. Subotica;3;2;0;1;9;6;3;6;2.0
3;6;Borac 1926;3;2;0;1;6;5;1;6;2.0
3;7;Vrsac;3;2;0;1;3;2;1;6;2.0
3;8;Javor;3;1;1;1;7;4;3;4;1.333
3;9;Jedinstvo U.;3;1;0;2;4;4;0;3;1.0
3;10;Graficar Beograd;3;1;0;2;2;3;-1;3;1.0
3;11;Metalac;3;1;0;2;4;6;-2;3;1.0
3;12;Teleoptik;3;1;0;2;5;9;-4;3;1.0
3;13;Loznica;3;0;2;1;2;3;-1;2;0.667
3;14;Proleter 023;3;0;1;2;2;4;-2;1;0.333
3;15;Vozdovac;3;0;0;3;0;3;-3;0;0.0
3;16;Bor 1919;3;0;0;3;1;8;-7;0;0.0
