Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
6;1;Petrzalka;6;6;0;0;16;2;14;18;3.0
6;2;Samorin;6;5;0;1;13;6;7;15;2.5
6;3;Lehota p. V.;6;2;4;0;11;8;3;10;1.667
6;4;Pohronie;6;3;1;2;12;10;2;10;1.667
6;5;Povazska Bystrica;6;3;1;2;10;10;0;10;1.667
6;6;Zilina B;6;3;1;2;6;6;0;10;1.667
6;7;Presov;6;3;1;2;9;10;-1;10;1.667
6;8;L. Mikulas;6;2;2;2;10;6;4;8;1.333
6;9;Inter Bratislava;6;2;1;3;9;7;2;7;1.167
6;10;Galanta;6;2;1;3;4;9;-5;7;1.167
6;11;FK Humenne;6;2;0;4;4;9;-5;6;1.0
6;12;S. Bratislava B;6;1;2;3;9;10;-1;5;0.833
6;13;Z. Moravce-Vrable;6;1;2;3;5;7;-2;5;0.833
6;14;Malzenice;5;1;1;3;7;9;-2;4;0.8
6;15;Zvolen;6;0;3;3;4;7;-3;3;0.5
6;16;MFK Bytca;5;1;0;4;3;16;-13;3;0.6
