Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
6;1;Tabor Sezana;6;5;1;0;16;1;15;16;2.667
6;2;Bilje;6;4;0;2;14;12;2;12;2.0
6;3;Ilirija;6;3;1;2;11;5;6;10;1.667
6;4;Vrhnika;6;3;1;2;8;6;2;10;1.667
6;5;NK Jesenice;6;3;1;2;9;8;1;10;1.667
6;6;NK Bistrica;6;3;1;2;8;9;-1;10;1.667
6;7;Slovan Ljubljana;6;3;1;2;8;11;-3;10;1.667
6;8;Triglav;4;3;0;1;6;2;4;9;2.25
6;9;Beltinci;5;3;0;2;11;8;3;9;1.8
6;10;NK Krka;6;2;1;3;7;9;-2;7;1.167
6;11;Primorje;6;2;1;3;7;11;-4;7;1.167
6;12;Rudar;5;2;0;3;9;9;0;6;1.2
6;13;Jadran Dekani;5;1;2;2;3;3;0;5;1.0
6;14;Krsko Posavje;6;1;2;3;5;12;-7;5;0.833
6;15;Brezice;5;0;1;4;4;8;-4;1;0.2
6;16;Dravinja;6;0;1;5;4;16;-12;1;0.167
