Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
24;1;Gaadiidka;19;13;5;1;51;15;36;44;2.316
24;2;Heegan;20;13;5;2;49;16;33;44;2.2
24;3;Dekedaha;21;12;7;2;52;24;28;43;2.048
24;4;Mogadishu City;19;11;6;2;36;12;24;39;2.053
24;5;Elman;20;11;3;6;33;15;18;36;1.8
24;6;Horseed;20;9;8;3;38;19;19;35;1.75
24;7;Badbaado;19;6;2;11;37;33;4;20;1.053
24;8;Jazeera;19;5;5;9;38;38;0;20;1.053
24;9;Jeenyo;20;4;8;8;30;30;0;20;1.0
24;10;Raadsan;20;4;2;14;33;56;-23;14;0.7
24;11;Jubba;20;2;0;18;15;88;-73;6;0.3
24;12;Gantaalaha Afgooye;17;1;1;15;16;82;-66;4;0.235
