Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
21;1;Suwon Bluewings;20;12;4;4;29;17;12;40;2.0
21;2;Seoul E-Land;20;11;4;5;36;25;11;37;1.85
21;3;Suwon FC;19;10;6;3;39;24;15;36;1.895
21;4;Busan;20;11;3;6;37;29;8;36;1.8
21;5;Hwaseong;20;10;5;5;34;22;12;35;1.75
21;6;Daegu;20;10;5;5;39;30;9;35;1.75
21;7;Gimpo FC;20;7;9;4;25;21;4;30;1.5
21;8;Asan;20;7;7;6;29;24;5;28;1.4
21;9;Gyeongnam;20;6;7;7;27;28;-1;25;1.25
21;10;Seongnam;19;5;8;6;20;22;-2;23;1.211
21;11;Yongin;20;4;10;6;25;29;-4;22;1.1
21;12;Paju Frontier;20;6;3;11;19;25;-6;21;1.05
21;13;Cheonan City;20;4;8;8;26;29;-3;20;1.0
21;14;Cheongju Jikji;20;2;13;5;23;33;-10;19;0.95
21;15;Ansan Greeners;20;5;4;11;21;37;-16;19;0.95
21;16;Jeonnam;19;2;7;10;21;34;-13;13;0.684
21;17;Gimhae;19;2;5;12;16;37;-21;11;0.579
