Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Eibar;5;4;0;1;10;3;7;12;2.4
5;2;Maiorca;5;3;1;1;7;2;5;10;2.0
5;3;Tenerife;5;3;1;1;7;3;4;10;2.0
5;4;Castellon;4;3;1;0;6;2;4;10;2.5
5;5;Almeria;5;3;0;2;8;4;4;9;1.8
5;6;Oviedo;4;2;2;0;4;0;4;8;2.0
5;7;Burgos CF;5;2;2;1;8;6;2;8;1.6
5;8;Granada;5;2;2;1;6;5;1;8;1.6
5;9;Sabadell;5;2;2;1;4;4;0;8;1.6
5;10;Girona;4;2;1;1;9;5;4;7;1.75
5;11;Celta Vigo B;5;2;1;2;7;8;-1;7;1.4
5;12;Las Palmas;4;2;1;1;5;6;-1;7;1.75
5;13;Gijon;5;2;1;2;2;3;-1;7;1.4
5;14;Real Sociedad B;3;1;2;0;6;4;2;5;1.667
5;15;Leganes;4;1;2;1;2;3;-1;5;1.25
5;16;Eldense;4;1;1;2;1;4;-3;4;1.0
5;17;Valladolid;5;1;1;3;2;7;-5;4;0.8
5;18;Andorra;5;1;0;4;8;10;-2;3;0.6
5;19;Cadice;4;0;2;2;3;5;-2;2;0.5
5;20;Albacete;4;0;1;3;2;6;-4;1;0.25
5;21;Cordoba;4;0;0;4;5;11;-6;0;0.0
5;22;Ceuta;4;0;0;4;2;13;-11;0;0.0
