Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
22;1;Sirius;17;13;3;1;47;23;24;42;2.471
22;2;Hammarby;16;9;3;4;36;15;21;30;1.875
22;3;Elfsborg;17;7;6;4;24;18;6;27;1.588
22;4;Djurgarden;15;8;2;5;33;16;17;26;1.733
22;5;Hacken;16;6;7;3;28;26;2;25;1.562
22;6;AIK Stockholm;16;7;4;5;22;24;-2;25;1.562
22;7;Västerås SK;17;7;4;6;25;32;-7;25;1.471
22;8;GAIS;16;6;5;5;21;15;6;23;1.438
22;9;Malmo FF;16;7;2;7;31;27;4;23;1.438
22;10;Mjallby;16;5;5;6;24;23;1;20;1.25
22;11;Göteborg;16;5;4;7;22;35;-13;19;1.188
22;12;Kalmar;16;5;3;8;21;24;-3;18;1.125
22;13;Brommapojkarna;16;4;6;6;22;26;-4;18;1.125
22;14;Degerfors;16;3;4;9;14;27;-13;13;0.812
22;15;Orgryte;16;3;4;9;20;37;-17;13;0.812
22;16;Halmstad;16;1;4;11;11;33;-22;7;0.438
