Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
17;1;Sirius;11;9;2;0;31;14;17;29;2.636
17;2;Hammarby;12;6;2;4;26;14;12;20;1.667
17;3;Hacken;11;5;5;1;23;18;5;20;1.818
17;4;Elfsborg;12;4;6;2;17;13;4;18;1.5
17;5;AIK Stockholm;12;5;3;4;16;18;-2;18;1.5
17;6;Mjallby;12;4;4;4;19;17;2;16;1.333
17;7;Malmo FF;11;5;1;5;21;20;1;16;1.455
17;8;GAIS;11;4;3;4;16;11;5;15;1.364
17;9;Brommapojkarna;10;4;3;3;15;16;-1;15;1.5
17;10;Västerås SK;11;4;3;4;20;23;-3;15;1.364
17;11;Djurgarden;9;4;1;4;19;13;6;13;1.444
17;12;Kalmar;11;4;1;6;14;15;-1;13;1.182
17;13;Degerfors;11;2;4;5;12;17;-5;10;0.909
17;14;Göteborg;11;2;4;5;14;24;-10;10;0.909
17;15;Orgryte;12;2;3;7;14;31;-17;9;0.75
17;16;Halmstad;11;1;3;7;10;23;-13;6;0.545
