Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
21;1;Stockholm Internazionale;19;12;3;4;41;17;24;39;2.053
21;2;Hammarby TFF;19;11;5;3;45;15;30;38;2.0
21;3;Karlstad;19;11;4;4;31;17;14;37;1.947
21;4;AFC Eskilstuna;20;11;4;5;37;27;10;37;1.85
21;5;Arlanda;19;10;6;3;33;22;11;36;1.895
21;6;FBK Karlstad;19;9;4;6;31;31;0;31;1.632
21;7;Assyriska FF;20;8;5;7;35;32;3;29;1.45
21;8;Enkoping SK;19;9;2;8;27;31;-4;29;1.526
21;9;Karlbergs;19;7;4;8;28;28;0;25;1.316
21;10;Gefle;19;7;3;9;25;37;-12;24;1.263
21;11;Vasalund;19;6;5;8;30;38;-8;23;1.211
21;12;Umeå;19;5;5;9;24;32;-8;20;1.053
21;13;Sollentuna;19;4;8;7;18;27;-9;20;1.053
21;14;Jarfalla;19;4;3;12;23;41;-18;15;0.789
21;15;Pitea;19;2;6;11;21;40;-19;12;0.632
21;16;Stocksund;19;2;5;12;38;47;-9;11;0.579
21;17;Vasalunds;1;0;0;1;1;3;-2;0;0.0
21;18;Sollentuna FK;1;0;0;1;1;4;-3;0;0.0
