Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
22;1;Sunnersta AIF;24;15;6;3;57;20;37;51;2.125
22;2;Skiljebo;20;13;5;2;47;23;24;44;2.2
22;3;Angby;20;12;6;2;40;22;18;42;2.1
22;4;Falu;20;12;4;4;32;20;12;40;2.0
22;5;Enskede;21;12;4;5;33;22;11;40;1.905
22;6;Taby;20;10;4;6;35;21;14;34;1.7
22;7;Gute;21;8;5;8;31;29;2;29;1.381
22;8;Bollstanas;21;7;7;7;38;38;0;28;1.333
22;9;IK Franke;20;7;4;9;33;32;1;25;1.25
22;10;Kungsangen;21;2;10;9;21;33;-12;16;0.762
22;11;Viggbyholms;21;4;4;13;17;40;-23;16;0.762
22;12;Lidingo IFK;20;3;5;12;21;38;-17;14;0.7
22;13;Korsnas;20;2;5;13;19;47;-28;11;0.55
22;14;Helges;21;2;4;15;16;52;-36;10;0.476
22;15;Skiljebo SK;3;2;1;0;8;4;4;7;2.333
22;16;Kungsaengens IF;1;0;0;1;1;3;-2;0;0.0
22;17;Kungsangens IF;1;0;0;1;1;3;-2;0;0.0
22;18;Helges IF;1;0;0;1;0;3;-3;0;0.0
