Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
26;1;Skelleftea;23;14;6;3;48;24;24;48;2.087
26;2;Kubikenborgs IF;22;15;2;5;52;28;24;47;2.136
26;3;IFK Lulea;23;15;1;7;51;29;22;46;2.0
26;4;Taftea IK;22;12;1;9;51;34;17;37;1.682
26;5;IFK Ostersund;23;9;7;7;50;39;11;34;1.478
26;6;Boden;23;9;7;7;31;35;-4;34;1.478
26;7;Gottne;23;8;4;11;43;51;-8;28;1.217
26;8;Friska Viljor;20;6;7;7;39;39;0;25;1.25
26;9;Lucksta;23;7;4;12;40;51;-11;25;1.087
26;10;Umea FC Akademi;19;6;6;7;37;41;-4;24;1.263
26;11;Storfors;19;6;3;10;28;40;-12;21;1.105
26;12;Fransta;19;6;3;10;33;48;-15;21;1.105
26;13;Umea FF;19;5;5;9;37;41;-4;20;1.053
26;14;IFK Umea;19;1;2;16;17;60;-43;5;0.263
26;15;Team TG;1;1;0;0;4;1;3;3;3.0
