Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
20;1;Karlskrona;17;12;3;2;42;18;24;39;2.294
20;2;IFK Berga;20;12;3;5;46;26;20;39;1.95
20;3;Oskarshamn;16;9;3;4;35;19;16;30;1.875
20;4;IFK Trelleborg;16;8;5;3;29;15;14;29;1.812
20;5;Nosaby;16;7;5;4;30;27;3;26;1.625
20;6;Linero IF;16;8;1;7;28;25;3;25;1.562
20;7;Osterlen;16;7;3;6;24;22;2;24;1.5
20;8;Vaxjo Norra;16;6;5;5;21;24;-3;23;1.438
20;9;Lilla Torg;17;4;7;6;19;28;-9;19;1.118
20;10;Staffanstorp United;16;4;6;6;27;29;-2;18;1.125
20;11;Torns;17;6;0;11;25;46;-21;18;1.059
20;12;Solvesborgs;16;5;1;10;24;29;-5;16;1.0
20;13;Rappe GOIF;16;3;4;9;16;30;-14;13;0.812
20;14;IFK Karlshamn;17;2;2;13;17;41;-24;8;0.471
20;15;Stenungsunds;1;1;0;0;5;0;5;3;3.0
20;16;Karlslund;1;1;0;0;3;0;3;3;3.0
20;17;Dalstorps IF;1;1;0;0;2;1;1;3;3.0
20;18;Jonsereds;1;1;0;0;2;1;1;3;3.0
20;19;Smedby;1;1;0;0;1;0;1;3;3.0
20;20;Herrestads AIF;1;0;1;0;2;2;0;1;1.0
20;21;IFK Skovde;1;0;1;0;2;2;0;1;1.0
20;22;Motala;1;0;1;0;1;1;0;1;1.0
20;23;Tord;1;0;1;0;1;1;0;1;1.0
20;24;Onsala;1;0;0;1;1;2;-1;0;0.0
20;25;Torslanda;1;0;0;1;1;2;-1;0;0.0
20;26;Eker Orebro;1;0;0;1;0;1;-1;0;0.0
20;27;Vaexjoe Norra IF;1;0;0;1;1;3;-2;0;0.0
20;28;Vaxjo Norra IF;1;0;0;1;1;3;-2;0;0.0
20;29;Haninge;1;0;0;1;0;3;-3;0;0.0
20;30;Kumla;1;0;0;1;0;5;-5;0;0.0
