Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
19;1;Sleipner;19;11;4;4;43;31;12;37;1.947
19;2;Farsta;19;11;3;5;42;21;21;36;1.895
19;3;Haninge;19;11;3;5;48;34;14;36;1.895
19;4;Forward;19;11;3;5;49;36;13;36;1.895
19;5;Nykopings;20;11;3;6;35;22;13;36;1.8
19;6;Smedby;19;10;4;5;38;25;13;34;1.789
19;7;Ragsved;19;8;5;6;36;31;5;29;1.526
19;8;Fittja;19;9;2;8;33;32;1;29;1.526
19;9;Karlslund;19;6;5;8;25;29;-4;23;1.211
19;10;Orebro Syr.;19;6;2;11;18;22;-4;20;1.053
19;11;Lindo FF;19;5;2;12;26;36;-10;17;0.895
19;12;Eker Orebro;19;5;2;12;23;51;-28;17;0.895
19;13;Syrianska;19;4;4;11;28;48;-20;16;0.842
19;14;Nacka FC;20;4;2;14;31;57;-26;14;0.7
19;15;Nykoepings BIS;1;1;0;0;4;1;3;3;3.0
19;16;FC Nacka Iliria;1;0;0;1;1;4;-3;0;0.0
