Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
25;1;Landvetter;23;16;3;4;42;20;22;51;2.217
25;2;Dalstorps IF;24;13;7;4;47;26;21;46;1.917
25;3;Hestrafors;22;12;4;6;47;37;10;40;1.818
25;4;Jonsereds;22;11;5;6;38;36;2;38;1.727
25;5;Lindome;24;10;5;9;44;39;5;35;1.458
25;6;Boljan;23;9;7;7;35;30;5;34;1.478
25;7;Frölunda;22;9;6;7;42;38;4;33;1.5
25;8;Qviding;22;9;4;9;52;47;5;31;1.409
25;9;Kongahalla;23;7;6;10;35;43;-8;27;1.174
25;10;Onsala;24;7;6;11;33;41;-8;27;1.125
25;11;Astorps;22;7;5;10;28;36;-8;26;1.182
25;12;Torslanda;22;6;7;9;41;49;-8;25;1.136
25;13;Galtabacks BK;23;5;6;12;32;36;-4;21;0.913
25;14;Astrio;22;1;3;18;15;53;-38;6;0.273
