Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
19;1;Norrkoping;17;11;2;4;29;10;19;35;2.059
19;2;Falkenberg;18;10;4;4;37;28;9;34;1.889
19;3;Varberg;17;10;3;4;34;23;11;33;1.941
19;4;Östersund;17;8;5;4;27;21;6;29;1.706
19;5;Nordic United;17;7;6;4;28;25;3;27;1.588
19;6;Öster;16;8;2;6;26;22;4;26;1.625
19;7;Landskrona;17;7;4;6;23;19;4;25;1.471
19;8;Ljungskile;17;6;5;6;25;23;2;23;1.353
19;9;Sandviken;17;6;4;7;30;25;5;22;1.294
19;10;Oddevold;17;5;7;5;28;26;2;22;1.294
19;11;Helsingborg;16;6;3;7;26;33;-7;21;1.312
19;12;Brage;18;5;5;8;32;34;-2;20;1.111
19;13;Norrby;17;3;10;4;21;23;-2;19;1.118
19;14;Örebro;17;3;6;8;14;25;-11;15;0.882
19;15;Värnamo;17;4;2;11;20;35;-15;14;0.824
19;16;Sundsvall;17;3;0;14;13;41;-28;9;0.529
19;17;Falkenbergs FF;1;1;0;0;4;2;2;3;3.0
19;18;Orgryte;1;1;0;0;4;3;1;3;3.0
19;19;Hacken;1;0;0;1;3;4;-1;0;0.0
19;20;IK Brage;1;0;0;1;2;4;-2;0;0.0
