Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
2;1;Grand-Saconnex;2;2;0;0;8;1;7;6;3.0
2;2;Bruhl SG;2;2;0;0;6;2;4;6;3.0
2;3;Schaffhausen;2;2;0;0;5;1;4;6;3.0
2;4;Biel;2;2;0;0;5;2;3;6;3.0
2;5;Bulle;2;1;1;0;6;3;3;4;2.0
2;6;Bavois;2;1;1;0;4;2;2;4;2.0
2;7;Luzerna II;2;1;0;1;3;2;1;3;1.5
2;8;Paradiso;2;1;0;1;3;2;1;3;1.5
2;9;Young Boys II;2;1;0;1;5;5;0;3;1.5
2;10;Kreuzlingen;2;1;0;1;3;4;-1;3;1.5
2;11;Cham;2;1;0;1;2;3;-1;3;1.5
2;12;Amical Saint-Prex;2;1;0;1;1;6;-5;3;1.5
2;13;Breitenrain;2;0;1;1;3;4;-1;1;0.5
2;14;Zurigo II;2;0;1;1;2;3;-1;1;0.5
2;15;Basilea II;2;0;0;2;2;5;-3;0;0.0
2;16;Bellinzona;2;0;0;2;0;3;-3;0;0.0
2;17;Lugano II;2;0;0;2;2;7;-5;0;0.0
2;18;YF Juventus;2;0;0;2;2;7;-5;0;0.0
