Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
8;1;Kayserispor;7;5;1;1;14;3;11;16;2.286
8;2;Bursaspor;7;5;1;1;14;6;8;16;2.286
8;3;Igdir FK;8;5;1;2;12;7;5;16;2.0
8;4;Batman Petrolspor;7;5;1;1;14;11;3;16;2.286
8;5;Keciorengucu;7;3;3;1;16;9;7;12;1.714
8;6;Mardin 1969;7;3;3;1;9;4;5;12;1.714
8;7;Sariyer;7;3;2;2;9;8;1;11;1.571
8;8;Muglaspor;8;2;5;1;8;7;1;11;1.375
8;9;Bandirmaspor;8;2;4;2;12;5;7;10;1.25
8;10;Manisa FK;7;2;3;2;12;11;1;9;1.286
8;11;Karagumruk;7;2;3;2;10;11;-1;9;1.286
8;12;Antalyaspor;7;3;0;4;11;13;-2;9;1.286
8;13;Pendikspor;7;2;3;2;9;12;-3;9;1.286
8;14;Bodrumspor;7;1;4;2;6;5;1;7;1.0
8;15;Sivasspor;7;1;4;2;8;10;-2;7;1.0
8;16;Umraniyespor;8;1;3;4;6;9;-3;6;0.75
8;17;Vanspor FK;7;1;3;3;8;14;-6;6;0.857
8;18;Erokspor;7;0;5;2;4;8;-4;5;0.714
8;19;Istanbulspor;7;0;2;5;6;19;-13;2;0.286
8;20;Boluspor;7;0;1;6;2;18;-16;1;0.143
