Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
25;1;Nashville SC;21;15;4;2;46;17;29;49;2.333
25;2;Vancouver Whitecaps;21;13;4;4;48;18;30;43;2.048
25;3;Inter Miami;22;12;6;4;56;41;15;42;1.909
25;4;Houston Dynamo;22;12;3;7;30;26;4;39;1.773
25;5;Chicago Fire;22;11;5;6;41;30;11;38;1.727
25;6;Charlotte;23;11;5;7;42;32;10;38;1.652
25;7;New England Revolution;22;11;4;7;36;27;9;37;1.682
25;8;San Jose Earthquakes;22;10;4;8;39;33;6;34;1.545
25;9;Los Angeles FC;22;9;6;7;33;22;11;33;1.5
25;10;FC Dallas;21;9;6;6;38;34;4;33;1.571
25;11;St. Louis City;21;9;6;6;30;27;3;33;1.571
25;12;Colorado Rapids;22;10;2;10;32;29;3;32;1.455
25;13;Cincinnati;22;8;7;7;49;51;-2;31;1.409
25;14;San Diego FC;22;8;6;8;40;33;7;30;1.364
25;15;Minnesota;22;7;8;7;30;32;-2;29;1.318
25;16;New York City;22;7;7;8;36;31;5;28;1.273
25;17;Real Salt Lake;21;8;4;9;34;33;1;28;1.333
25;18;Portland Timbers;22;8;4;10;39;39;0;28;1.273
25;19;Los Angeles Galaxy;22;6;8;8;28;32;-4;26;1.182
25;20;Seattle Sounders;21;7;5;9;24;29;-5;26;1.238
25;21;New York Red Bulls;22;7;5;10;32;46;-14;26;1.182
25;22;DC United;22;5;10;7;28;36;-8;25;1.136
25;23;Orlando City;22;7;4;11;37;54;-17;25;1.136
25;24;Philadelphia Union;22;6;6;10;34;39;-5;24;1.091
25;25;Austin FC;22;6;6;10;28;41;-13;24;1.091
25;26;Toronto FC;23;4;11;8;32;40;-8;23;1.0
25;27;Atlanta Utd;21;6;3;12;25;37;-12;21;1.0
25;28;CF Montreal;22;5;6;11;30;46;-16;21;0.955
25;29;Columbus Crew;22;5;5;12;31;39;-8;20;0.909
25;30;Sporting Kansas City;22;4;4;14;22;54;-32;16;0.727
25;31;Inter Miami CF;1;1;0;0;7;1;6;3;3.0
25;32;Seattle Sounders FC;1;0;1;0;2;2;0;1;1.0
25;33;New York City FC;1;0;1;0;1;1;0;1;1.0
25;34;Atlanta United;1;0;0;1;0;2;-2;0;0.0
25;35;CF Montréal;1;0;0;1;1;7;-6;0;0.0
