Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
28;1;Columbus Crew 2;21;12;4;5;43;31;12;40;1.905
28;2;New York Red Bulls 2;21;12;3;6;51;32;19;39;1.857
28;3;New England Revolution 2;23;11;5;7;37;32;5;38;1.652
28;4;Connecticut FC;22;12;1;9;45;39;6;37;1.682
28;5;New York City 2;22;10;4;8;37;34;3;34;1.545
28;6;Philadelphia 2;22;9;4;9;31;32;-1;31;1.409
28;7;Toronto FC 2;21;8;4;9;35;42;-7;28;1.333
28;8;Cincinnati 2;22;4;2;16;24;45;-21;14;0.636
28;9;Chicago Fire 2;4;2;0;2;5;7;-2;6;1.5
28;10;Chattanooga;3;1;2;0;6;4;2;5;1.667
28;11;Crown Legacy;2;1;1;0;6;3;3;4;2.0
28;12;Huntsville;3;1;1;1;5;3;2;4;1.333
28;13;Orlando City B;5;1;0;4;4;11;-7;3;0.6
28;14;Atlanta United 2;3;0;1;2;4;6;-2;1;0.333
28;15;Carolina Core;3;0;0;3;4;10;-6;0;0.0
28;16;Inter Miami 2;3;0;0;3;1;7;-6;0;0.0
