Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
22;1;Atlanta United 2;16;10;3;3;40;24;16;33;2.062
22;2;Chattanooga;19;9;5;5;36;28;8;32;1.684
22;3;Crown Legacy;16;9;4;3;39;23;16;31;1.938
22;4;Orlando City B;18;8;5;5;36;31;5;29;1.611
22;5;Huntsville;18;7;4;7;32;36;-4;25;1.389
22;6;Chicago Fire II;17;6;6;5;35;27;8;24;1.412
22;7;Carolina Core;17;4;6;7;22;26;-4;18;1.059
22;8;Inter Miami II;15;1;3;11;11;36;-25;6;0.4
22;9;Connecticut FC;3;1;1;1;8;8;0;4;1.333
22;10;New York City II;2;1;0;1;5;3;2;3;1.5
22;11;Toronto FC II;3;1;0;2;4;4;0;3;1.0
22;12;Philadelphia II;3;1;0;2;2;6;-4;3;1.0
22;13;New England Revolution II;1;0;1;0;2;2;0;1;1.0
22;14;Columbus Crew 2;2;0;1;1;2;4;-2;1;0.5
22;15;New York Red Bulls II;2;0;1;1;1;5;-4;1;0.5
22;16;Cincinnati 2;4;0;0;4;4;16;-12;0;0.0
