Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
23;1;Houston Dynamo 2;15;11;3;1;38;11;27;36;2.4
23;2;Austin FC II;16;11;3;2;35;16;19;36;2.25
23;3;Minnesota 2;16;7;3;6;27;29;-2;24;1.5
23;4;St. Louis City 2;18;6;5;7;28;29;-1;23;1.278
23;5;North Texas;13;6;2;5;24;16;8;20;1.538
23;6;Sporting Kansas City II;17;4;1;12;20;47;-27;13;0.765
23;7;Portland Timbers 2;4;3;0;1;6;7;-1;9;2.25
23;8;Colorado Rapids 2;16;2;3;11;13;31;-18;9;0.562
23;9;San Jose Earthquakes II;4;2;2;0;13;5;8;8;2.0
23;10;Ventura County;3;1;1;1;5;4;1;4;1.333
23;11;Orlando City B;1;1;0;0;2;1;1;3;3.0
23;12;Real Monarchs;3;1;0;2;5;6;-1;3;1.0
23;13;Los Angeles FC 2;3;0;2;1;4;6;-2;2;0.667
23;14;Tacoma Defiance;5;0;2;3;5;14;-9;2;0.4
23;15;Chicago Fire II;1;0;1;0;2;2;0;1;1.0
23;16;Huntsville;1;0;1;0;2;2;0;1;1.0
23;17;Vancouver 2;3;0;1;2;3;5;-2;1;0.333
23;18;Cincinnati 2;1;0;0;1;1;2;-1;0;0.0
