Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
19;1;Los Angeles FC 2;12;7;2;3;22;20;2;23;1.917
19;2;San Jose Earthquakes II;11;6;2;3;24;12;12;20;1.818
19;3;Portland Timbers 2;11;5;3;3;14;16;-2;18;1.636
19;4;Tacoma Defiance;9;5;1;3;11;6;5;16;1.778
19;5;Real Monarchs;13;4;3;6;20;23;-3;15;1.154
19;6;Ventura County;11;3;3;5;20;21;-1;12;1.091
19;7;Vancouver 2;15;3;3;9;18;30;-12;12;0.8
19;8;St. Louis City 2;3;2;1;0;6;4;2;7;2.333
19;9;Houston Dynamo 2;5;2;0;3;7;8;-1;6;1.2
19;10;Colorado Rapids 2;4;1;2;1;3;4;-1;5;1.25
19;11;Austin FC II;2;1;1;0;2;1;1;4;2.0
19;12;Sporting Kansas City II;1;1;0;0;3;1;2;3;3.0
19;13;North Texas;3;0;3;0;5;5;0;3;1.0
19;14;Minnesota 2;4;0;0;4;2;6;-4;0;0.0
