Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
36;1;Tampa Bay;25;15;6;4;45;23;22;51;2.04
36;2;El Paso;25;14;4;7;44;31;13;46;1.84
36;3;Charleston;25;13;4;8;50;31;19;43;1.72
36;4;New Mexico;24;12;7;5;37;27;10;43;1.792
36;5;Detroit;24;11;7;6;29;19;10;40;1.667
36;6;Colorado Springs;25;11;5;9;40;37;3;38;1.52
36;7;Hartford Athletic;25;9;11;5;27;24;3;38;1.52
36;8;Pittsburgh;26;11;5;10;28;26;2;38;1.462
36;9;Lexington;25;11;4;10;43;30;13;37;1.48
36;10;FC Tulsa;24;10;7;7;29;23;6;37;1.542
36;11;Sacramento Republic;23;9;9;5;30;20;10;36;1.565
36;12;Louisville City;25;10;6;9;41;40;1;36;1.44
36;13;San Antonio;24;9;9;6;29;28;1;36;1.5
36;14;Orange County SC;25;9;9;7;34;40;-6;36;1.44
36;15;Indy Eleven;24;9;6;9;32;29;3;33;1.375
36;16;Phoenix Rising;25;8;9;8;35;35;0;33;1.32
36;17;Las Vegas Lights;25;9;6;10;32;35;-3;33;1.32
36;18;Rhode Island;23;9;5;9;35;26;9;32;1.391
36;19;Oakland Roots;25;7;9;9;30;35;-5;30;1.2
36;20;Miami FC;25;6;9;10;30;43;-13;27;1.08
36;21;Birmingham Legion;24;3;11;10;32;42;-10;20;0.833
36;22;Loudoun;24;3;11;10;27;42;-15;20;0.833
36;23;Monterey Bay;25;4;6;15;25;43;-18;18;0.72
36;24;Brooklyn;24;4;6;14;25;45;-20;18;0.75
36;25;Sporting Jax;25;3;5;17;30;65;-35;14;0.56
