Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
31;1;Union Omaha;21;14;2;5;39;23;16;44;2.095
31;2;Charlotte Independ.;20;13;3;4;46;28;18;42;2.1
31;3;Forward Madison;20;12;3;5;40;21;19;39;1.95
31;4;One Knoxville;21;11;5;5;35;23;12;38;1.81
31;5;Boise;21;10;4;7;31;29;2;34;1.619
31;6;AV Alta;23;8;8;7;32;27;5;32;1.391
31;7;Spokane Velocity;19;10;2;7;27;25;2;32;1.684
31;8;Chattanooga Red Wolves;19;10;1;8;35;29;6;31;1.632
31;9;Corpus Christi FC;22;7;8;7;26;30;-4;29;1.318
31;10;Fort Wayne;20;7;6;7;26;24;2;27;1.35
31;11;Westchester SC;20;6;4;10;31;29;2;22;1.1
31;12;Portland Hearts of Pine;21;5;7;9;31;36;-5;22;1.048
31;13;Sarasota Paradise;21;6;3;12;22;35;-13;21;1.0
31;14;FC Naples;20;6;2;12;23;34;-11;20;1.0
31;15;Greenville;20;5;5;10;22;33;-11;20;1.0
31;16;Richmond Kickers;20;5;3;12;19;40;-21;18;0.9
31;17;New York Cosmos;20;5;2;13;21;40;-19;17;0.85
