Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;AHFC Royals;1;0;1;0;1;1;0;1;1.0
1;2;Houston FC;1;0;1;0;1;1;0;1;1.0
2;1;Laredo Heat;1;1;0;0;3;1;2;3;3.0
2;2;AHFC Royals;1;0;1;0;1;1;0;1;1.0
2;3;Houston FC;1;0;1;0;1;1;0;1;1.0
2;4;San Antonio FC 2;1;0;0;1;1;3;-2;0;0.0
3;1;AHFC Royals;2;1;1;0;4;1;3;4;2.0
3;2;Laredo Heat;1;1;0;0;3;1;2;3;3.0
3;3;GFI Woodlands;1;1;0;0;4;3;1;3;3.0
3;4;Houston FC;2;0;1;1;4;5;-1;1;0.5
3;5;San Antonio FC 2;1;0;0;1;1;3;-2;0;0.0
3;6;Hill Country Lobos;1;0;0;1;0;3;-3;0;0.0
4;1;AHFC Royals;3;2;1;0;10;2;8;7;2.333
4;2;Laredo Heat;1;1;0;0;3;1;2;3;3.0
4;3;GFI Woodlands;1;1;0;0;4;3;1;3;3.0
4;4;Houston FC;2;0;1;1;4;5;-1;1;0.5
4;5;San Antonio FC 2;1;0;0;1;1;3;-2;0;0.0
4;6;Hill Country Lobos;1;0;0;1;0;3;-3;0;0.0
4;7;Twin City Toucans;1;0;0;1;1;6;-5;0;0.0
5;1;AHFC Royals;3;2;1;0;10;2;8;7;2.333
5;2;Laredo Heat;2;2;0;0;7;1;6;6;3.0
5;3;GFI Woodlands;1;1;0;0;4;3;1;3;3.0
5;4;Houston FC;2;0;1;1;4;5;-1;1;0.5
5;5;Hill Country Lobos;1;0;0;1;0;3;-3;0;0.0
5;6;Twin City Toucans;1;0;0;1;1;6;-5;0;0.0
5;7;San Antonio FC 2;2;0;0;2;1;7;-6;0;0.0
6;1;AHFC Royals;3;2;1;0;10;2;8;7;2.333
6;2;Laredo Heat;2;2;0;0;7;1;6;6;3.0
6;3;GFI Woodlands;2;2;0;0;5;3;2;6;3.0
6;4;Lonestar SC;1;1;0;0;4;1;3;3;3.0
6;5;San Antonio FC 2;3;1;0;2;5;10;-5;3;1.0
6;6;Houston FC;2;0;1;1;4;5;-1;1;0.5
6;7;Houston Sur;1;0;0;1;1;4;-3;0;0.0
6;8;Hill Country Lobos;2;0;0;2;3;7;-4;0;0.0
6;9;Twin City Toucans;2;0;0;2;1;7;-6;0;0.0
7;1;AHFC Royals;3;2;1;0;10;2;8;7;2.333
7;2;Laredo Heat;3;2;1;0;8;2;6;7;2.333
7;3;GFI Woodlands;2;2;0;0;5;3;2;6;3.0
7;4;San Antonio FC 2;4;2;0;2;9;12;-3;6;1.5
