Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
29;1;Vermont Green;13;12;1;0;60;10;50;37;2.846
29;2;NEFC;13;11;0;2;31;21;10;33;2.538
29;3;Western Mass Pioneers;13;8;3;2;25;16;9;27;2.077
29;4;Black Rock;13;5;5;3;21;16;5;20;1.538
29;5;Albany Rush;12;6;1;5;21;32;-11;19;1.583
29;6;Connecticut Rush;14;4;2;8;19;26;-7;14;1.0
29;7;Boston Bolts;13;3;3;7;17;26;-9;12;0.923
29;8;Seacoast Utd Phantoms;12;3;2;7;23;28;-5;11;0.917
29;9;AC Connecticut;13;2;0;11;17;29;-12;6;0.462
29;10;Seacoast United Phantoms;1;1;0;0;2;0;2;3;3.0
29;11;Boston City;13;0;3;10;17;49;-32;3;0.231
