Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
4;1;Fort Lauderdale;3;3;0;0;9;0;9;9;3.0
4;2;Vermont Green;3;3;0;0;9;0;9;9;3.0
4;3;Ventura;3;3;0;0;9;2;7;9;3.0
4;4;Flint City;3;3;0;0;6;1;5;9;3.0
4;5;Laredo Heat;3;2;0;1;8;3;5;6;2.0
4;6;Peoria;3;2;0;1;7;4;3;6;2.0
4;7;Asheville City;3;2;0;1;7;5;2;6;2.0
4;8;Ballard;3;1;1;1;6;6;0;4;1.333
4;9;Colorado Storm;2;1;0;1;5;5;0;3;1.5
4;10;Appalachian;2;1;0;1;4;4;0;3;1.5
4;11;Steel City;2;1;0;1;2;2;0;3;1.5
4;12;Minneapolis City;2;1;0;1;2;4;-2;3;1.5
4;13;Ocean City;2;1;0;1;2;4;-2;3;1.5
4;14;Brave SC;2;1;0;1;1;3;-2;3;1.5
4;15;GFI Woodlands;2;1;0;1;3;7;-4;3;1.5
4;16;San Francisco City;2;1;0;1;2;6;-4;3;1.5
4;17;Utah United;1;0;1;0;1;1;0;1;1.0
4;18;Lionsbridge;1;0;0;1;2;3;-1;0;0.0
4;19;Sueno;1;0;0;1;2;3;-1;0;0.0
4;20;Little Rock Rangers;1;0;0;1;1;2;-1;0;0.0
4;21;Snohomish United;1;0;0;1;1;2;-1;0;0.0
4;22;Dothan United;1;0;0;1;0;1;-1;0;0.0
4;23;Northern Indiana;1;0;0;1;0;1;-1;0;0.0
4;24;Project 51O;1;0;0;1;0;1;-1;0;0.0
4;25;Tucson;1;0;0;1;0;1;-1;0;0.0
4;26;Buffalo;1;0;0;1;0;2;-2;0;0.0
4;27;Charlotte Independ. 2;1;0;0;1;0;2;-2;0;0.0
4;28;Motown 2;1;0;0;1;0;2;-2;0;0.0
4;29;Texoma;1;0;0;1;0;2;-2;0;0.0
4;30;West Virginia;1;0;0;1;0;2;-2;0;0.0
4;31;Ironbound SC;1;0;0;1;0;4;-4;0;0.0
4;32;Swarm FC;1;0;0;1;0;4;-4;0;0.0
