Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
2;1;Viktoria;2;2;0;0;3;0;3;6;3.0
2;2;SC Poltava;2;1;1;0;4;1;3;4;2.0
2;3;Inhulets;2;1;1;0;4;3;1;4;2.0
2;4;Kulikiv;2;1;1;0;3;2;1;4;2.0
2;5;Metalist Kharkiv;2;1;0;1;4;3;1;3;1.5
2;6;Ahrobiznes Volochysk;2;1;0;1;2;3;-1;3;1.5
2;7;Kolos Kovalivka 2;2;1;0;1;1;2;-1;3;1.5
2;8;UCSA;2;0;2;0;6;6;0;2;1.0
2;9;Oleksandriya;2;0;2;0;5;5;0;2;1.0
2;10;Lokomotyv Kyiv;2;0;2;0;3;3;0;2;1.0
2;11;FC Chernihiv;2;0;2;0;2;2;0;2;1.0
2;12;Nyva Ternopil;2;0;2;0;2;2;0;2;1.0
2;13;Zhytomyr 2;2;0;1;1;3;4;-1;1;0.5
2;14;Prykarpattya;2;0;1;1;2;3;-1;1;0.5
2;15;Probiy Horodenka;2;0;1;1;3;5;-2;1;0.5
2;16;Fenix Mariupol;2;0;0;2;0;3;-3;0;0.0
