Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
6;1;Polissya Zhytomyr;6;5;0;1;14;5;9;15;2.5
6;2;Shakhtar;6;5;0;1;12;4;8;15;2.5
6;3;Karpaty Lviv;6;4;1;1;14;4;10;13;2.167
6;4;Dyn. Kyiv;5;3;1;1;7;5;2;10;2.0
6;5;FC Kharkiv;5;3;0;2;10;4;6;9;1.8
6;6;Epitsentr;6;2;2;2;6;5;1;8;1.333
6;7;LNZ Cherkasy;6;2;2;2;5;5;0;8;1.333
6;8;Zorya;6;2;2;2;7;9;-2;8;1.333
6;9;Bukovyna;6;1;4;1;4;4;0;7;1.167
6;10;Veres-Rivne;5;1;2;2;3;4;-1;5;1.0
6;11;Kryvbas;5;1;2;2;7;9;-2;5;1.0
6;12;Livyi Bereg;5;0;4;1;2;3;-1;4;0.8
6;13;Ch. Odesa;5;1;1;3;2;6;-4;4;0.8
6;14;Obolon;6;0;3;3;1;11;-10;3;0.5
6;15;Kolos Kovalivka;5;0;2;3;3;8;-5;2;0.4
6;16;Kudrivka;5;0;2;3;2;13;-11;2;0.4
