Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
5;1;Newtown;4;3;1;0;11;1;10;10;2.5
5;2;Brickfield;4;3;0;1;10;3;7;9;2.25
5;3;Bangor 1876;4;3;0;1;10;4;6;9;2.25
5;4;Mold Alexandra;4;3;0;1;9;4;5;9;2.25
5;5;Caersws;4;3;0;1;8;5;3;9;2.25
5;6;Guilsfield;5;2;2;1;11;8;3;8;1.6
5;7;Rhyl;5;2;1;2;8;7;1;7;1.4
5;8;Llanuwchllyn;5;2;1;2;4;10;-6;7;1.4
5;9;Bala Town;3;2;0;1;5;3;2;6;2.0
5;10;Porthmadog;4;1;2;1;5;6;-1;5;1.25
5;11;Buckley;4;1;1;2;5;6;-1;4;1.0
5;12;Ruthin;5;1;1;3;5;11;-6;4;0.8
5;13;Holyhead;3;0;1;2;3;5;-2;1;0.333
5;14;Denbigh;4;0;1;3;5;9;-4;1;0.25
5;15;Penrhyncoch;3;0;1;2;2;11;-9;1;0.333
5;16;Gresford;3;0;0;3;0;8;-8;0;0.0
