Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
7;1;TNS;7;6;1;0;17;3;14;19;2.714
7;2;Barry;7;6;0;1;17;8;9;18;2.571
7;3;Connah's Q.;7;5;1;1;18;5;13;16;2.286
7;4;Caernarfon;7;5;0;2;18;9;9;15;2.143
7;5;Llandudno;7;5;0;2;15;7;8;15;2.143
7;6;Penybont;7;4;3;0;11;5;6;15;2.143
7;7;Cardiff Metropolitan;7;4;1;2;18;9;9;13;1.857
7;8;Airbus;7;4;0;3;13;9;4;12;1.714
7;9;Colwyn Bay;7;3;1;3;8;11;-3;10;1.429
7;10;Cambrian United;7;2;3;2;10;10;0;9;1.286
7;11;Briton Ferry;7;2;1;4;5;12;-7;7;1.0
7;12;Haverfordwest;7;1;1;5;3;13;-10;4;0.571
7;13;Trefelin;7;1;1;5;4;18;-14;4;0.571
7;14;Flint;7;0;1;6;6;14;-8;1;0.143
7;15;Ammanford;7;0;1;6;4;17;-13;1;0.143
7;16;Holywell;7;0;1;6;10;27;-17;1;0.143
