PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;HG;AG;Goals;Over25;BTTS
2026-06-28;v21;Norway_3rdDivision_Group4_2026;13;Brodd;Haugesund 2;Brodd - Haugesund 2;95.53;ALTA;4;0;4;OK;KO
2026-06-28;v21;Norway_3rdDivision_Group5_2026;13;Lillestrom 2;Tromsø 2;Lillestrom 2 - Tromsø 2;92.84;ALTA;5;3;8;OK;OK
2026-06-28;v21;Norway_3rdDivision_Group6_2026;13;Rade;Lyn 2;Rade - Lyn 2;89.23;ALTA;3;5;8;OK;OK
2026-06-28;v21;Norway_3rdDivision_Group4_2026;13;Vindbjart;Stabaek 2;Vindbjart - Stabaek 2;86.5;ALTA;2;3;5;OK;OK
2026-06-28;v21;Iceland_BestaDeildKarla_2026;17;Keflavik;KR Reykjavik;Keflavik - KR Reykjavik;84.84;ALTA;3;2;5;OK;OK
2026-06-28;v21;Iceland_BestaDeildKarla_2026;17;Hafnarfjordur;Vestmannaeyjar;Hafnarfjordur - Vestmannaeyjar;83.86;ALTA;1;1;2;KO;OK
2026-06-28;v21;Sweden_Division2_SodraGotaland_2026;15;Linero IF;IFK Karlshamn;Linero IF - IFK Karlshamn;82.81;ALTA;3;1;4;OK;OK
2026-06-28;v21;Norway_3rdDivision_Group1_2026;13;K. Oslo 2;Heming;K. Oslo 2 - Heming;82.16;ALTA;2;2;4;OK;OK
2026-06-28;v21;Iceland_BestaDeildKarla_2026;17;Stjarnan;Akureyri;Stjarnan - Akureyri;80.68;ALTA;3;1;4;OK;OK
2026-06-28;v21;Norway_2ndDivision_Group2_2026;13;Follo;Levanger;Follo - Levanger;79.94;ALTA;0;2;2;KO;KO
2026-06-28;v21;Norway_3rdDivision_Group4_2026;13;Varhaug;Odd 2;Varhaug - Odd 2;77.8;ALTA;2;2;4;OK;OK
2026-06-28;v21;Finland_Ykkonen_2026;13;OLS Oulu;KuPS Akatemia;OLS Oulu - KuPS Akatemia;77.48;ALTA;2;2;4;OK;OK
2026-06-28;v21;Norway_3rdDivision_Group3_2026;13;Varegg;V. Haugesund;Varegg - V. Haugesund;77.45;ALTA;1;1;2;KO;OK
2026-06-28;v21;Sweden_Division2_SodraSvealand_2026;15;Ragsved;Forward;Ragsved - Forward;75.99;ALTA;1;2;3;OK;OK
