Country;League;Round;Date;Home;Away;HG;AG;Notes
Australia;NPL Tasmania;1;2026-03-07;Kingborough Lions;Riverside Olympic;1;0;
Australia;NPL Tasmania;1;2026-03-07;Launceston;Glenorchy Knights;2;1;
Australia;NPL Tasmania;1;2026-03-07;Launceston United;South Hobart;1;5;
Australia;NPL Tasmania;1;2026-03-07;Ulverstone;Devonport;2;10;
Australia;NPL Tasmania;1;2026-03-08;South East Utd.;Clarence Zebras;1;2;
Australia;NPL Tasmania;2;2026-03-14;Devonport;Launceston United;2;0;
Australia;NPL Tasmania;2;2026-03-14;Kingborough Lions;South East Utd.;2;0;
Australia;NPL Tasmania;2;2026-03-14;Launceston;Ulverstone;4;0;
Australia;NPL Tasmania;2;2026-03-14;Riverside Olympic;Glenorchy Knights;3;0;
Australia;NPL Tasmania;2;2026-03-15;South Hobart;Clarence Zebras;2;0;
Australia;NPL Tasmania;3;2026-03-20;Launceston;Riverside Olympic;2;3;
Australia;NPL Tasmania;3;2026-03-21;Clarence Zebras;Devonport;2;4;
Australia;NPL Tasmania;3;2026-03-21;Glenorchy Knights;South East Utd.;3;1;
Australia;NPL Tasmania;3;2026-03-21;South Hobart;Kingborough Lions;5;1;
Australia;NPL Tasmania;3;2026-03-22;Ulverstone;Launceston United;1;1;
Australia;NPL Tasmania;4;2026-03-27;Glenorchy Knights;South Hobart;1;2;
Australia;NPL Tasmania;4;2026-03-28;Devonport;Kingborough Lions;1;0;
Australia;NPL Tasmania;4;2026-03-28;Launceston United;Clarence Zebras;0;1;
Australia;NPL Tasmania;4;2026-03-28;South East Utd.;Launceston;1;6;
Australia;NPL Tasmania;4;2026-03-29;Ulverstone;Riverside Olympic;2;3;
Australia;NPL Tasmania;5;2026-04-10;Launceston United;Launceston;1;7;
Australia;NPL Tasmania;5;2026-04-11;Clarence Zebras;Glenorchy Knights;2;0;
Australia;NPL Tasmania;5;2026-04-11;Kingborough Lions;Ulverstone;5;1;
Australia;NPL Tasmania;5;2026-04-11;Riverside Olympic;Devonport;0;3;
Australia;NPL Tasmania;5;2026-04-12;South Hobart;South East Utd.;6;0;
Australia;NPL Tasmania;6;2026-04-18;Kingborough Lions;Glenorchy Knights;3;1;
Australia;NPL Tasmania;6;2026-04-18;Launceston;Clarence Zebras;2;0;
Australia;NPL Tasmania;6;2026-04-18;Riverside Olympic;Launceston United;2;0;
Australia;NPL Tasmania;6;2026-04-18;Ulverstone;South Hobart;0;6;
Australia;NPL Tasmania;6;2026-04-19;South East Utd.;Devonport;1;4;
Australia;NPL Tasmania;7;2026-05-02;Clarence Zebras;Riverside Olympic;4;0;
Australia;NPL Tasmania;7;2026-05-02;Glenorchy Knights;Ulverstone;2;1;
Australia;NPL Tasmania;7;2026-05-02;Kingborough Lions;Launceston;2;1;
Australia;NPL Tasmania;7;2026-05-02;Launceston United;South East Utd.;4;6;
Australia;NPL Tasmania;7;2026-05-02;South Hobart;Devonport;3;2;
Australia;NPL Tasmania;8;2026-05-09;Devonport;Glenorchy Knights;2;1;
Australia;NPL Tasmania;8;2026-05-09;Launceston;South Hobart;1;8;
Australia;NPL Tasmania;8;2026-05-09;Launceston United;Kingborough Lions;1;7;
Australia;NPL Tasmania;8;2026-05-09;Riverside Olympic;South East Utd.;5;0;
Australia;NPL Tasmania;8;2026-05-10;Ulverstone;Clarence Zebras;0;4;
Australia;NPL Tasmania;9;2026-05-23;Clarence Zebras;Kingborough Lions;0;4;
Australia;NPL Tasmania;9;2026-05-23;Launceston United;Glenorchy Knights;0;4;
Australia;NPL Tasmania;9;2026-05-23;Riverside Olympic;South Hobart;1;1;
Australia;NPL Tasmania;9;2026-05-23;South East Utd.;Ulverstone;2;0;
Australia;NPL Tasmania;9;2026-05-24;Launceston;Devonport;1;3;
Australia;NPL Tasmania;10;2026-05-30;Devonport;Ulverstone;1;0;
Australia;NPL Tasmania;10;2026-05-30;Glenorchy Knights;Launceston;1;2;
Australia;NPL Tasmania;10;2026-05-30;Riverside Olympic;Kingborough Lions;0;3;
Australia;NPL Tasmania;10;2026-05-30;South Hobart;Launceston United;4;1;
Australia;NPL Tasmania;10;2026-05-31;Clarence Zebras;South East Utd.;2;1;
Australia;NPL Tasmania;11;2026-06-13;Clarence Zebras;South Hobart;1;3;
Australia;NPL Tasmania;11;2026-06-13;Glenorchy Knights;Riverside Olympic;1;1;
Australia;NPL Tasmania;11;2026-06-14;South East Utd.;Kingborough Lions;0;9;
Australia;NPL Tasmania;11;2026-06-14;Ulverstone;Launceston;1;3;
Australia;NPL Tasmania;12;2026-06-20;Devonport;Clarence Zebras;2;2;
Australia;NPL Tasmania;12;2026-06-20;Launceston United;Ulverstone;3;2;
Australia;NPL Tasmania;12;2026-06-20;South East Utd.;Glenorchy Knights;1;0;
Australia;NPL Tasmania;12;2026-06-21;Kingborough Lions;South Hobart;1;1;
Australia;NPL Tasmania;13;2026-06-27;Clarence Zebras;Launceston United;1;1;
Australia;NPL Tasmania;13;2026-06-27;Riverside Olympic;Ulverstone;6;0;
Australia;NPL Tasmania;13;2026-06-27;South Hobart;Glenorchy Knights;6;1;
Australia;NPL Tasmania;13;2026-06-28;Kingborough Lions;Devonport;2;1;
Australia;NPL Tasmania;13;2026-06-28;Launceston;South East Utd.;1;0;
Australia;NPL Tasmania;14;2026-07-05;Devonport;Riverside Olympic;4;1;
Australia;NPL Tasmania;14;2026-07-05;Glenorchy Knights;Clarence Zebras;2;2;
Australia;NPL Tasmania;14;2026-07-05;Ulverstone;Kingborough Lions;2;1;
Australia;NPL Tasmania;14;2026-07-06;South East Utd.;South Hobart;1;0;
Australia;NPL Tasmania;15;2026-07-11;Clarence Zebras;Launceston;1;2;
Australia;NPL Tasmania;15;2026-07-11;Devonport;South East Utd.;2;0;
Australia;NPL Tasmania;15;2026-07-11;Glenorchy Knights;Kingborough Lions;0;2;
Australia;NPL Tasmania;15;2026-07-11;Launceston United;Riverside Olympic;0;1;
Australia;NPL Tasmania;15;2026-07-11;South Hobart;Ulverstone;2;0;
Australia;NPL Tasmania;16;2026-07-04;Devonport City;Riverside Olympic;4;1;
Australia;NPL Tasmania;16;2026-07-04;Glenorchy Knights;Clarence Zebras;2;2;
Australia;NPL Tasmania;16;2026-07-04;Ulverstone;Kingborough Lions;2;1;
Australia;NPL Tasmania;16;2026-07-05;South East United;South Hobart;1;0;
