Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Australia;Tasmania Southern Championship;1;2026-03-13;Glenorchy Knights U21;Hobart City;2;2;
Australia;Tasmania Southern Championship;1;2026-03-14;South Hobart U21;Clarence Zebras U21;4;5;
Australia;Tasmania Southern Championship;1;2026-03-14;Taroona;New Town;2;5;
Australia;Tasmania Southern Championship;1;2026-03-14;University of Tasmania;Hobart Utd.;0;5;
Australia;Tasmania Southern Championship;1;2026-03-15;South East Utd. U21;Olympia Warriors;1;5;
Australia;Tasmania Southern Championship;2;2026-03-20;Hobart Utd.;New Town;0;10;
Australia;Tasmania Southern Championship;2;2026-03-21;Glenorchy Knights U21;South East Utd. U21;19;2;
Australia;Tasmania Southern Championship;2;2026-03-21;Taroona;Hobart City;3;0;
Australia;Tasmania Southern Championship;2;2026-03-21;University of Tasmania;Clarence Zebras U21;2;3;
Australia;Tasmania Southern Championship;2;2026-03-22;South Hobart U21;Olympia Warriors;5;1;
Australia;Tasmania Southern Championship;3;2026-03-28;Glenorchy Knights U21;South Hobart U21;2;4;
Australia;Tasmania Southern Championship;3;2026-03-28;Hobart Utd.;Clarence Zebras U21;1;5;
Australia;Tasmania Southern Championship;3;2026-03-28;New Town;Hobart City;1;1;
Australia;Tasmania Southern Championship;3;2026-03-28;University of Tasmania;Olympia Warriors;3;5;
Australia;Tasmania Southern Championship;3;2026-03-29;South East Utd. U21;Taroona;0;6;
Australia;Tasmania Southern Championship;4;2026-04-10;Olympia Warriors;New Town;1;2;
Australia;Tasmania Southern Championship;4;2026-04-11;Clarence Zebras U21;Glenorchy Knights U21;4;1;
Australia;Tasmania Southern Championship;4;2026-04-11;Hobart Utd.;Taroona;0;7;
Australia;Tasmania Southern Championship;4;2026-04-11;South Hobart U21;South East Utd. U21;11;0;
Australia;Tasmania Southern Championship;4;2026-04-11;University of Tasmania;Hobart City;3;4;
Australia;Tasmania Southern Championship;5;2026-04-17;Olympia Warriors;Glenorchy Knights U21;4;1;
Australia;Tasmania Southern Championship;5;2026-04-18;Hobart City;Hobart Utd.;5;0;
Australia;Tasmania Southern Championship;5;2026-04-18;South East Utd. U21;University of Tasmania;0;3;Awarded match
Australia;Tasmania Southern Championship;5;2026-04-18;Taroona;Clarence Zebras U21;5;0;
Australia;Tasmania Southern Championship;5;2026-04-19;South Hobart U21;New Town;1;1;
Australia;Tasmania Southern Championship;6;2026-05-01;Glenorchy Knights U21;New Town;1;5;
Australia;Tasmania Southern Championship;6;2026-05-01;Olympia Warriors;Taroona;3;2;
Australia;Tasmania Southern Championship;6;2026-05-02;Clarence Zebras U21;Hobart City;3;1;
Australia;Tasmania Southern Championship;6;2026-05-02;University of Tasmania;South Hobart U21;3;6;
Australia;Tasmania Southern Championship;6;2026-05-03;South East Utd. U21;Hobart Utd.;3;6;
Australia;Tasmania Southern Championship;7;2026-05-09;Hobart Utd.;Olympia Warriors;0;6;
Australia;Tasmania Southern Championship;7;2026-05-09;Taroona;South Hobart U21;2;3;
Australia;Tasmania Southern Championship;7;2026-05-09;University of Tasmania;Glenorchy Knights U21;1;2;
Australia;Tasmania Southern Championship;7;2026-05-10;New Town;Clarence Zebras U21;6;1;
Australia;Tasmania Southern Championship;8;2026-05-23;Clarence Zebras U21;Olympia Warriors;0;2;
Australia;Tasmania Southern Championship;8;2026-05-23;Hobart City;South Hobart U21;3;2;
Australia;Tasmania Southern Championship;8;2026-05-23;Hobart Utd.;Glenorchy Knights U21;5;0;
Australia;Tasmania Southern Championship;8;2026-05-23;Taroona;University of Tasmania;10;0;
Australia;Tasmania Southern Championship;9;2026-05-29;Glenorchy Knights U21;Taroona;2;2;
Australia;Tasmania Southern Championship;9;2026-05-30;Hobart City;Olympia Warriors;3;1;
Australia;Tasmania Southern Championship;9;2026-05-30;University of Tasmania;New Town;1;1;
Australia;Tasmania Southern Championship;9;2026-05-31;South Hobart U21;Hobart Utd.;13;0;
Australia;Tasmania Southern Championship;10;2026-06-13;Clarence Zebras U21;South Hobart U21;1;3;
Australia;Tasmania Southern Championship;10;2026-06-13;Hobart City;Glenorchy Knights U21;3;1;
Australia;Tasmania Southern Championship;10;2026-06-13;Hobart Utd.;University of Tasmania;2;3;
Australia;Tasmania Southern Championship;10;2026-06-13;New Town;Taroona;0;1;
Australia;Tasmania Southern Championship;11;2026-06-19;Olympia Warriors;South Hobart U21;2;1;
Australia;Tasmania Southern Championship;11;2026-06-20;Hobart City;Taroona;2;2;
Australia;Tasmania Southern Championship;11;2026-06-20;New Town;Hobart Utd.;6;3;
Australia;Tasmania Southern Championship;11;2026-06-21;Clarence Zebras U21;University of Tasmania;1;4;
Australia;Tasmania Southern Championship;12;2026-06-26;Olympia Warriors;University of Tasmania;4;2;
Australia;Tasmania Southern Championship;12;2026-06-27;Clarence Zebras U21;Hobart Utd.;2;2;
Australia;Tasmania Southern Championship;12;2026-06-27;Hobart City;New Town;2;2;
Australia;Tasmania Southern Championship;13;2026-06-27;Glenorchy Knights U21;South Hobart U21;6;1;
Australia;Tasmania Southern Championship;13;2026-07-03;Glenorchy Knights U21;Clarence Zebras U21;0;8;
Australia;Tasmania Southern Championship;13;2026-07-05;Hobart City;University of Tasmania;5;2;
Australia;Tasmania Southern Championship;13;2026-07-05;New Town;Olympia Warriors;0;0;
Australia;Tasmania Southern Championship;13;2026-07-05;Taroona;Hobart Utd.;1;1;
Australia;Tasmania Southern Championship;14;2026-07-11;Glenorchy Knights U21;Olympia Warriors;0;3;
Australia;Tasmania Southern Championship;14;2026-07-11;Hobart Utd.;Hobart City;1;3;
Australia;Tasmania Southern Championship;14;2026-07-11;New Town;South Hobart U21;0;3;
Australia;Tasmania Southern Championship;15;2026-07-18;Hobart City;Clarence Zebras U21;4;0;
Australia;Tasmania Southern Championship;15;2026-07-18;New Town;Glenorchy Knights U21;9;0;
Australia;Tasmania Southern Championship;15;2026-07-18;South Hobart U21;University of Tasmania;5;0;
Australia;Tasmania Southern Championship;15;2026-07-18;Taroona;Olympia Warriors;3;2;
Australia;Tasmania Southern Championship;16;2026-07-11;Clarence Zebras U21;Taroona;3;1;
Australia;Tasmania Southern Championship;16;2026-07-31;Glenorchy Knights U21;University of Tasmania;3;1;
Australia;Tasmania Southern Championship;16;2026-07-31;Olympia Warriors;Hobart Utd.;8;1;
Australia;Tasmania Southern Championship;17;2026-07-31;South Hobart U21;Taroona;2;0;
Australia;Tasmania Southern Championship;17;2026-08-01;Clarence Zebras U21;New Town;0;2;
Australia;Tasmania Southern Championship;17;2026-08-07;Glenorchy Knights U21;Hobart Utd.;3;6;
Australia;Tasmania Southern Championship;18;2026-08-07;Olympia Warriors;Clarence Zebras U21;3;1;
Australia;Tasmania Southern Championship;18;2026-08-08;University of Tasmania;Taroona;1;2;
Australia;Tasmania Southern Championship;18;2026-08-09;South Hobart U21;Hobart City;3;3;
Australia;Tasmania Southern Championship;19;2026-08-15;New Town;University of Tasmania;4;0;
Australia;Tasmania Southern Championship;19;2026-08-15;Olympia Warriors;Hobart City;1;1;
Australia;Tasmania Southern Championship;19;2026-08-15;Taroona;Glenorchy Knights U21;14;0;
Australia;Tasmania Southern Championship;20;2026-08-22;Hobart Utd.;South Hobart U21;0;7;
