Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Austria;Regionalliga East;1;2026-07-31;Donaufeld Wien;Horn;2;1;
Austria;Regionalliga East;1;2026-07-31;Leobendorf;Parndorf;1;1;
Austria;Regionalliga East;1;2026-07-31;SV Donau;Kremser;1;1;
Austria;Regionalliga East;1;2026-07-31;Warth;Traiskirchen;3;3;
Austria;Regionalliga East;1;2026-07-31;Wiener;Favoritner;2;0;
Austria;Regionalliga East;1;2026-08-01;Mattersburg SV 2020;Gloggnitz;0;2;
Austria;Regionalliga East;1;2026-08-01;Wiener Viktoria;SV Oberwart;1;2;
Austria;Regionalliga East;1;2026-08-01;Wienerberger;Marchfeld;0;5;
Austria;Regionalliga East;2;2026-08-07;Favoritner;Wiener Viktoria;1;0;
Austria;Regionalliga East;2;2026-08-07;Gloggnitz;Kremser;3;1;
Austria;Regionalliga East;2;2026-08-07;Horn;Wienerberger;3;0;
Austria;Regionalliga East;2;2026-08-07;Marchfeld;Leobendorf;0;1;
Austria;Regionalliga East;2;2026-08-07;Parndorf;SV Donau;6;1;
Austria;Regionalliga East;2;2026-08-07;SV Oberwart;Warth;1;2;
Austria;Regionalliga East;2;2026-08-07;Traiskirchen;Donaufeld Wien;0;1;
