Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Austria;Wiener Stadtliga;1;2026-08-23;Floridsdorfer AC (Am);First Vienna (Am);2;1;
Austria;Wiener Stadtliga;1;2026-08-29;1980 Wien;WAF Brigittenau;1;0;
Austria;Wiener Stadtliga;1;2026-08-29;A XIII-Auhof Center;Sportunion Mauer;0;0;
Austria;Wiener Stadtliga;1;2026-08-29;Kagran;Schwechat;0;2;
Austria;Wiener Stadtliga;1;2026-08-29;Lac Inter;Dinamo Helfort;2;1;
Austria;Wiener Stadtliga;2;2026-08-29;Slovan HAC;Floridsdorfer AC (Am);1;1;
Austria;Wiener Stadtliga;2;2026-09-01;Post Wien;Kagran;2;2;
Austria;Wiener Stadtliga;2;2026-09-04;Schwechat;Stammersdorf;5;1;
Austria;Wiener Stadtliga;2;2026-09-04;TWL Elektra;Lac Inter;3;1;
Austria;Wiener Stadtliga;2;2026-09-05;Dinamo Helfort;A XIII-Auhof Center;2;2;
Austria;Wiener Stadtliga;3;2026-09-04;Red Star-Penzing;Slovan HAC;1;0;
Austria;Wiener Stadtliga;3;2026-09-05;Floridsdorfer AC (Am);Simmeringer;3;0;
Austria;Wiener Stadtliga;3;2026-09-05;Post Wien;1980 Wien;7;0;
Austria;Wiener Stadtliga;3;2026-09-05;Sportunion Mauer;Kagran;3;0;
Austria;Wiener Stadtliga;4;2026-09-11;A XIII-Auhof Center;Kagran;2;0;
Austria;Wiener Stadtliga;4;2026-09-11;Simmeringer;Red Star-Penzing;0;3;
