Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Azerbaijan;Premier League;1;2026-08-14;Turan;Gabala;1;0;
Azerbaijan;Premier League;1;2026-08-15;Araz;Imisli FK;0;0;
Azerbaijan;Premier League;1;2026-08-15;Sabah Baku;Kapaz;2;0;
Azerbaijan;Premier League;1;2026-08-16;Sumqayit;Neftci Baku;1;3;
Azerbaijan;Premier League;1;2026-08-16;Zira;Safa Baku;2;0;
Azerbaijan;Premier League;1;2026-08-17;Qarabag;Shamakhi;3;1;
Azerbaijan;Premier League;2;2026-08-23;Neftci Baku;Araz;5;0;
Azerbaijan;Premier League;2;2026-08-23;Turan;Shamakhi;0;0;
Azerbaijan;Premier League;2;2026-08-29;Safa Baku;Imisli FK;0;1;
Azerbaijan;Premier League;3;2026-08-29;Gabala;Shamakhi;0;0;
Azerbaijan;Premier League;3;2026-08-30;Kapaz;Turan;1;0;
Azerbaijan;Premier League;3;2026-08-30;Zira;Neftci Baku;1;0;
