Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
Belarus;Pershaya Liga;2026;1;2026-04-03;Lida;Din. Minsk 2;2;1;
Belarus;Pershaya Liga;2026;1;2026-04-04;BumProm Gomel;BATE 2;3;0;
Belarus;Pershaya Liga;2026;1;2026-04-04;Osipovichi;Ostrovets;1;1;
Belarus;Pershaya Liga;2026;1;2026-04-04;SKA-1938;Soligorsk;0;0;
Belarus;Pershaya Liga;2026;1;2026-04-04;Slutsk;Niva Dolbizno;2;1;
Belarus;Pershaya Liga;2026;1;2026-04-04;Smorgon;Uni X Labs;0;3;
Belarus;Pershaya Liga;2026;1;2026-04-04;Volna Pinsk;Molodechno;0;1;
Belarus;Pershaya Liga;2026;1;2026-04-06;Gomel 2;Orsha;0;1;
Belarus;Pershaya Liga;2026;1;2026-04-06;Minsk 2;FC Slonim;0;2;
Belarus;Pershaya Liga;2026;2;2026-04-10;BATE 2;Smorgon;1;1;
Belarus;Pershaya Liga;2026;2;2026-04-10;Din. Minsk 2;Osipovichi;2;0;
Belarus;Pershaya Liga;2026;2;2026-04-11;BumProm Gomel;FC Slonim;0;0;
Belarus;Pershaya Liga;2026;2;2026-04-11;Molodechno;Orsha;3;0;
Belarus;Pershaya Liga;2026;2;2026-04-11;Ostrovets;Minsk 2;1;2;
Belarus;Pershaya Liga;2026;2;2026-04-11;SKA-1938;Niva Dolbizno;3;1;
Belarus;Pershaya Liga;2026;2;2026-04-11;Slutsk;Lida;3;1;
Belarus;Pershaya Liga;2026;2;2026-04-11;Soligorsk;Gomel 2;0;0;
Belarus;Pershaya Liga;2026;2;2026-04-11;Uni X Labs;Volna Pinsk;1;0;
Belarus;Pershaya Liga;2026;3;2026-04-18;BumProm Gomel;Ostrovets;1;3;
Belarus;Pershaya Liga;2026;3;2026-04-18;Lida;SKA-1938;1;1;
Belarus;Pershaya Liga;2026;3;2026-04-18;Orsha;Uni X Labs;2;2;
Belarus;Pershaya Liga;2026;3;2026-04-18;Osipovichi;Slutsk;2;4;
Belarus;Pershaya Liga;2026;3;2026-04-18;Smorgon;FC Slonim;0;2;
Belarus;Pershaya Liga;2026;3;2026-04-18;Volna Pinsk;BATE 2;1;1;
Belarus;Pershaya Liga;2026;3;2026-04-19;Niva Dolbizno;Soligorsk;2;2;
Belarus;Pershaya Liga;2026;3;2026-04-20;Gomel 2;Molodechno;2;0;
Belarus;Pershaya Liga;2026;3;2026-04-20;Minsk 2;Din. Minsk 2;0;4;
Belarus;Pershaya Liga;2026;4;2026-04-24;Ostrovets;Smorgon;0;0;
Belarus;Pershaya Liga;2026;4;2026-04-24;Uni X Labs;Gomel 2;0;2;
Belarus;Pershaya Liga;2026;4;2026-04-25;BATE 2;Orsha;1;2;
Belarus;Pershaya Liga;2026;4;2026-04-25;Din. Minsk 2;BumProm Gomel;3;4;
Belarus;Pershaya Liga;2026;4;2026-04-26;Niva Dolbizno;Lida;1;2;
Belarus;Pershaya Liga;2026;4;2026-04-26;SKA-1938;Osipovichi;3;2;
Belarus;Pershaya Liga;2026;4;2026-04-26;Slutsk;Minsk 2;2;1;
Belarus;Pershaya Liga;2026;4;2026-04-26;Soligorsk;Molodechno;5;0;
Belarus;Pershaya Liga;2026;4;2026-04-26;Volna Pinsk;FC Slonim;1;2;
Belarus;Pershaya Liga;2026;5;2026-05-01;Gomel 2;BATE 2;3;4;
Belarus;Pershaya Liga;2026;5;2026-05-01;Orsha;FC Slonim;0;2;
Belarus;Pershaya Liga;2026;5;2026-05-02;Lida;Soligorsk;2;1;
Belarus;Pershaya Liga;2026;5;2026-05-02;Minsk 2;SKA-1938;0;6;
Belarus;Pershaya Liga;2026;5;2026-05-02;Molodechno;Uni X Labs;0;1;
Belarus;Pershaya Liga;2026;5;2026-05-02;Osipovichi;Niva Dolbizno;2;4;
Belarus;Pershaya Liga;2026;5;2026-05-02;Smorgon;Din. Minsk 2;1;3;
Belarus;Pershaya Liga;2026;5;2026-05-02;Volna Pinsk;Ostrovets;2;2;
Belarus;Pershaya Liga;2026;5;2026-05-03;BumProm Gomel;Slutsk;1;3;
Belarus;Pershaya Liga;2026;6;2026-05-08;BATE 2;Molodechno;2;3;
Belarus;Pershaya Liga;2026;6;2026-05-08;Din. Minsk 2;Volna Pinsk;3;1;
Belarus;Pershaya Liga;2026;6;2026-05-08;Ostrovets;Orsha;1;2;
Belarus;Pershaya Liga;2026;6;2026-05-09;Lida;Osipovichi;2;1;
Belarus;Pershaya Liga;2026;6;2026-05-10;FC Slonim;Gomel 2;3;1;
Belarus;Pershaya Liga;2026;6;2026-05-10;Niva Dolbizno;Minsk 2;3;1;
Belarus;Pershaya Liga;2026;6;2026-05-10;SKA-1938;BumProm Gomel;0;2;
Belarus;Pershaya Liga;2026;6;2026-05-10;Slutsk;Smorgon;1;1;
Belarus;Pershaya Liga;2026;6;2026-05-10;Soligorsk;Uni X Labs;3;0;
Belarus;Pershaya Liga;2026;7;2026-05-15;Gomel 2;Ostrovets;0;0;
Belarus;Pershaya Liga;2026;7;2026-05-15;Osipovichi;Soligorsk;0;6;
Belarus;Pershaya Liga;2026;7;2026-05-16;Minsk 2;Lida;2;1;
Belarus;Pershaya Liga;2026;7;2026-05-16;Molodechno;FC Slonim;1;0;
Belarus;Pershaya Liga;2026;7;2026-05-16;Smorgon;SKA-1938;0;1;
Belarus;Pershaya Liga;2026;7;2026-05-16;Volna Pinsk;Slutsk;3;2;
Belarus;Pershaya Liga;2026;7;2026-05-17;BumProm Gomel;Niva Dolbizno;0;1;
Belarus;Pershaya Liga;2026;7;2026-05-17;Uni X Labs;BATE 2;1;1;
Belarus;Pershaya Liga;2026;8;2026-05-22;Osipovichi;Minsk 2;0;1;
Belarus;Pershaya Liga;2026;8;2026-05-22;Soligorsk;BATE 2;1;1;
Belarus;Pershaya Liga;2026;8;2026-05-23;FC Slonim;Uni X Labs;3;0;
Belarus;Pershaya Liga;2026;8;2026-05-23;Lida;BumProm Gomel;0;2;
Belarus;Pershaya Liga;2026;8;2026-05-23;Niva Dolbizno;Smorgon;3;0;
Belarus;Pershaya Liga;2026;8;2026-05-23;Ostrovets;Molodechno;2;3;
Belarus;Pershaya Liga;2026;8;2026-05-23;SKA-1938;Volna Pinsk;3;1;
Belarus;Pershaya Liga;2026;8;2026-05-23;Slutsk;Orsha;3;1;
Belarus;Pershaya Liga;2026;8;2026-05-27;Din. Minsk 2;Gomel 2;2;2;
Belarus;Pershaya Liga;2026;9;2026-05-30;Orsha;SKA-1938;0;2;
Belarus;Pershaya Liga;2026;9;2026-05-31;BumProm Gomel;Osipovichi;5;1;
Belarus;Pershaya Liga;2026;9;2026-05-31;Gomel 2;Slutsk;1;3;
Belarus;Pershaya Liga;2026;9;2026-05-31;Minsk 2;Soligorsk;2;3;
Belarus;Pershaya Liga;2026;9;2026-05-31;Ostrovets;Uni X Labs;3;2;
Belarus;Pershaya Liga;2026;9;2026-05-31;Smorgon;Lida;4;4;
Belarus;Pershaya Liga;2026;9;2026-06-01;BATE 2;FC Slonim;2;5;
Belarus;Pershaya Liga;2026;9;2026-06-01;Molodechno;Din. Minsk 2;1;1;
Belarus;Pershaya Liga;2026;9;2026-06-01;Volna Pinsk;Niva Dolbizno;1;0;
Belarus;Pershaya Liga;2026;10;2026-06-06;Din. Minsk 2;Uni X Labs;2;1;
Belarus;Pershaya Liga;2026;10;2026-06-06;Lida;Volna Pinsk;2;4;
Belarus;Pershaya Liga;2026;10;2026-06-06;Minsk 2;BumProm Gomel;1;1;
Belarus;Pershaya Liga;2026;10;2026-06-06;Osipovichi;Smorgon;0;5;
Belarus;Pershaya Liga;2026;10;2026-06-06;Ostrovets;BATE 2;0;0;
Belarus;Pershaya Liga;2026;10;2026-06-07;Niva Dolbizno;Orsha;1;1;
Belarus;Pershaya Liga;2026;10;2026-06-07;SKA-1938;Gomel 2;1;1;
Belarus;Pershaya Liga;2026;10;2026-06-07;Slutsk;Molodechno;2;1;
Belarus;Pershaya Liga;2026;10;2026-06-07;Soligorsk;FC Slonim;1;0;
Belarus;Pershaya Liga;2026;11;2026-06-13;BumProm Gomel;Soligorsk;6;2;
Belarus;Pershaya Liga;2026;11;2026-06-13;FC Slonim;Ostrovets;1;1;
Belarus;Pershaya Liga;2026;11;2026-06-13;Molodechno;SKA-1938;1;4;
Belarus;Pershaya Liga;2026;11;2026-06-13;Orsha;Lida;1;2;
Belarus;Pershaya Liga;2026;11;2026-06-13;Uni X Labs;Slutsk;0;1;
Belarus;Pershaya Liga;2026;11;2026-06-13;Volna Pinsk;Osipovichi;2;1;
Belarus;Pershaya Liga;2026;11;2026-06-14;BATE 2;Din. Minsk 2;3;2;
Belarus;Pershaya Liga;2026;11;2026-06-14;Gomel 2;Niva Dolbizno;1;2;
Belarus;Pershaya Liga;2026;11;2026-06-14;Smorgon;Minsk 2;1;0;
Belarus;Pershaya Liga;2026;12;2026-06-19;Din. Minsk 2;FC Slonim;3;1;
Belarus;Pershaya Liga;2026;12;2026-06-19;Lida;Gomel 2;2;1;
Belarus;Pershaya Liga;2026;12;2026-06-19;Minsk 2;Volna Pinsk;1;2;
Belarus;Pershaya Liga;2026;12;2026-06-20;BumProm Gomel;Smorgon;2;1;
Belarus;Pershaya Liga;2026;12;2026-06-20;Osipovichi;Orsha;2;1;
Belarus;Pershaya Liga;2026;12;2026-06-20;Soligorsk;Ostrovets;4;1;
Belarus;Pershaya Liga;2026;12;2026-06-21;Niva Dolbizno;Molodechno;6;0;
Belarus;Pershaya Liga;2026;12;2026-06-21;SKA-1938;Uni X Labs;4;0;
Belarus;Pershaya Liga;2026;12;2026-06-21;Slutsk;BATE 2;2;0;
Belarus;Pershaya Liga;2026;13;2026-06-27;FC Slonim;Slutsk;2;1;
Belarus;Pershaya Liga;2026;13;2026-06-27;Gomel 2;Osipovichi;5;2;
Belarus;Pershaya Liga;2026;13;2026-06-27;Molodechno;Lida;0;2;
Belarus;Pershaya Liga;2026;13;2026-06-27;Smorgon;Soligorsk;2;0;
Belarus;Pershaya Liga;2026;13;2026-06-27;Uni X Labs;Niva Dolbizno;1;3;
Belarus;Pershaya Liga;2026;13;2026-06-27;Volna Pinsk;BumProm Gomel;2;1;
Belarus;Pershaya Liga;2026;13;2026-06-28;Orsha;Minsk 2;0;4;
Belarus;Pershaya Liga;2026;13;2026-06-30;BATE 2;SKA-1938;3;4;
Belarus;Pershaya Liga;2026;13;2026-06-30;Ostrovets;Din. Minsk 2;1;1;
