Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Czech Republic;4. liga - Group F;1;2026-08-07;Hlucin;Bohumin;0;2;
Czech Republic;4. liga - Group F;1;2026-08-08;Bridlicna;Zabreh;0;2;
Czech Republic;4. liga - Group F;1;2026-08-08;Novy Jicin;Stonava;2;2;
Czech Republic;4. liga - Group F;1;2026-08-08;Vratimov;Rymarov;1;2;
Czech Republic;4. liga - Group F;1;2026-08-09;Bilovec;Opava B;1;1;
Czech Republic;4. liga - Group F;1;2026-08-09;Kravare;Valasske Mezirici;3;1;
Czech Republic;4. liga - Group F;1;2026-08-09;Pusta Polom;Frydlant n. O.;3;0;
Czech Republic;4. liga - Group F;1;2026-08-09;Sumperk;Frydek-Mistek B;2;1;
Czech Republic;4. liga - Group F;2;2026-08-15;Frydlant n. O.;Novy Jicin;0;1;
Czech Republic;4. liga - Group F;2;2026-08-15;Rymarov;Hlucin;1;2;
Czech Republic;4. liga - Group F;2;2026-08-15;Stonava;Kravare;1;2;
Czech Republic;4. liga - Group F;2;2026-08-15;Valasske Mezirici;Sumperk;1;1;
Czech Republic;4. liga - Group F;2;2026-08-16;Bohumin;Bridlicna;4;2;
Czech Republic;4. liga - Group F;2;2026-08-16;Frydek-Mistek B;Vratimov;1;3;
Czech Republic;4. liga - Group F;2;2026-08-16;Opava B;Pusta Polom;3;1;
Czech Republic;4. liga - Group F;2;2026-08-16;Zabreh;Bilovec;2;1;
