Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Denmark;2nd Division;1;2026-07-31;FA 2000;B.93;1;3;
Denmark;2nd Division;1;2026-07-31;Nykobing;F. Amager;2;2;
Denmark;2nd Division;1;2026-07-31;Roskilde;Naestved;2;2;
Denmark;2nd Division;1;2026-08-01;Brabrand;Skive;1;3;
Denmark;2nd Division;1;2026-08-01;Hellerup;VSK Aarhus;0;2;
Denmark;2nd Division;1;2026-08-01;Middelfart;Thisted;4;1;
Denmark;2nd Division;1;2026-08-07;B.93;Roskilde;1;2;
Denmark;2nd Division;1;2026-08-07;Middelfart;Brabrand;4;0;
Denmark;2nd Division;2;2026-08-08;Skive;Nykobing;2;3;
Denmark;2nd Division;2;2026-08-08;Thisted;FA 2000;0;1;
Denmark;2nd Division;2;2026-08-08;VSK Aarhus;F. Amager;3;0;
