Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
England;Championship;1;2026-08-14;Wolves;Blackburn;2;2;
England;Championship;1;2026-08-15;Bolton;Preston;2;1;
England;Championship;1;2026-08-15;Bristol City;Millwall;0;2;
England;Championship;1;2026-08-15;Charlton;Derby;2;1;
England;Championship;1;2026-08-15;Middlesbrough;Lincoln;2;1;
England;Championship;1;2026-08-15;Norwich;West Brom;1;2;
England;Championship;1;2026-08-15;Portsmouth;QPR;1;3;
England;Championship;1;2026-08-15;Sheffield Utd;Birmingham;0;0;
England;Championship;1;2026-08-15;Stoke;Swansea;1;2;
England;Championship;1;2026-08-16;Burnley;West Ham;2;2;
England;Championship;1;2026-08-16;Watford;Southampton;2;1;
England;Championship;1;2026-08-17;Cardiff;Wrexham;1;1;
England;Championship;2;2026-08-23;West Brom;Burnley;3;1;
England;Championship;2;2026-08-28;Wrexham;Birmingham;1;2;
England;Championship;2;2026-08-29;Blackburn;QPR;1;2;
England;Championship;2;2026-08-29;Bolton;Lincoln;0;1;
England;Championship;2;2026-08-29;Bristol City;Portsmouth;2;1;
England;Championship;2;2026-08-29;Cardiff;Sheffield Utd;2;2;
England;Championship;2;2026-08-29;Charlton;Preston;1;0;
England;Championship;2;2026-08-29;Derby;Swansea;0;3;
England;Championship;2;2026-08-29;Southampton;Millwall;5;1;
England;Championship;2;2026-08-29;Watford;West Ham;1;1;
England;Championship;2;2026-08-29;Wolves;Stoke;4;1;
England;Championship;3;2026-08-29;Middlesbrough;West Brom;3;1;
England;Championship;3;2026-08-29;Norwich;Burnley;4;1;
