Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Finland;Kolmonen North;1;2026-04-25;Haukiputaan Pallo;Ponkilan Pantterit;13;1;
Finland;Kolmonen North;1;2026-04-25;KajHa;Ajax Sarkkiranta;5;0;
Finland;Kolmonen North;1;2026-04-25;RoPo;KaPa;2;2;
Finland;Kolmonen North;1;2026-04-25;Santa Claus;Villan Pojat;1;1;
Finland;Kolmonen North;1;2026-05-03;KePS;Hercules-j;1;1;
Finland;Kolmonen North;2;2026-05-09;Ajax Sarkkiranta;RoPo;1;0;
Finland;Kolmonen North;2;2026-05-09;KaPa;Haukiputaan Pallo;0;1;
Finland;Kolmonen North;2;2026-05-09;Ponkilan Pantterit;KePS;0;11;
Finland;Kolmonen North;2;2026-05-09;Villan Pojat;KajHa;1;0;
Finland;Kolmonen North;2;2026-05-10;Hercules-j;Santa Claus;1;2;
Finland;Kolmonen North;3;2026-05-16;Haukiputaan Pallo;RoPo;0;2;
Finland;Kolmonen North;3;2026-05-16;KajHa;Hercules-j;8;0;
Finland;Kolmonen North;3;2026-05-16;KePS;KaPa;3;2;
Finland;Kolmonen North;3;2026-05-16;Santa Claus;Ponkilan Pantterit;1;1;
Finland;Kolmonen North;3;2026-05-16;Villan Pojat;Ajax Sarkkiranta;2;2;
Finland;Kolmonen North;4;2026-05-21;Ajax Sarkkiranta;Haukiputaan Pallo;0;2;
Finland;Kolmonen North;4;2026-05-23;KaPa;Santa Claus;4;0;
Finland;Kolmonen North;4;2026-05-23;Ponkilan Pantterit;KajHa;0;5;
Finland;Kolmonen North;4;2026-05-23;RoPo;KePS;3;0;
Finland;Kolmonen North;4;2026-05-28;Hercules-j;Villan Pojat;0;3;
Finland;Kolmonen North;5;2026-05-31;KePS;Haukiputaan Pallo;1;1;
Finland;Kolmonen North;5;2026-06-03;KajHa;KaPa;2;1;
Finland;Kolmonen North;5;2026-06-04;Santa Claus;RoPo;0;6;
Finland;Kolmonen North;5;2026-06-06;Villan Pojat;Ponkilan Pantterit;2;2;
Finland;Kolmonen North;5;2026-06-07;Hercules-j;Ajax Sarkkiranta;1;2;
Finland;Kolmonen North;6;2026-06-13;Haukiputaan Pallo;Santa Claus;2;2;
Finland;Kolmonen North;6;2026-06-13;KaPa;Villan Pojat;5;0;
Finland;Kolmonen North;6;2026-06-13;RoPo;KajHa;3;1;
Finland;Kolmonen North;6;2026-06-16;Ponkilan Pantterit;Hercules-j;1;3;
Finland;Kolmonen North;6;2026-06-18;Ajax Sarkkiranta;KePS;3;0;
Finland;Kolmonen North;7;2026-06-24;Santa Claus;KePS;0;4;
Finland;Kolmonen North;7;2026-06-27;Hercules-j;KaPa;3;2;
Finland;Kolmonen North;7;2026-06-27;KajHa;Haukiputaan Pallo;3;2;
Finland;Kolmonen North;7;2026-06-27;Ponkilan Pantterit;Ajax Sarkkiranta;2;4;
Finland;Kolmonen North;8;2026-07-04;Haukiputaan Pallo;Villan Pojat;2;1;
Finland;Kolmonen North;8;2026-07-05;KePS;KajHa;4;3;
Finland;Kolmonen North;8;2026-07-05;Ponkilan Pantterit;KaPa;0;12;
Finland;Kolmonen North;8;2026-07-09;RoPo;Hercules-j;1;2;
Finland;Kolmonen North;9;2026-07-11;KajHa;Santa Claus;8;0;
Finland;Kolmonen North;9;2026-07-11;Villan Pojat;KePS;2;1;
Finland;Kolmonen North;9;2026-07-12;Hercules-j;Haukiputaan Pallo;2;2;
Finland;Kolmonen North;9;2026-07-12;KaPa;Ajax Sarkkiranta;2;1;
Finland;Kolmonen North;10;2026-07-18;Ajax Sarkkiranta;KajHa;1;3;
Finland;Kolmonen North;10;2026-07-18;KaPa;RoPo;5;1;
Finland;Kolmonen North;10;2026-07-18;Villan Pojat;Santa Claus;3;0;
Finland;Kolmonen North;10;2026-07-19;Hercules-j;KePS;0;3;
Finland;Kolmonen North;10;2026-07-30;Ponkilan Pantterit;Haukiputaan Pallo;0;7;
Finland;Kolmonen North;11;2026-08-01;Villan Pojat;RoPo;5;1;
