Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Finland;Kolmonen Southern Group 1;1;2026-07-01;MPS Old Stars;EIF Academy;0;4;
Finland;Kolmonen Southern Group 1;1;2026-07-03;EPS Reservi;PPJ/Ruoholahti;1;5;
Finland;Kolmonen Southern Group 1;1;2026-07-03;EsPa;LePa;2;0;
Finland;Kolmonen Southern Group 1;1;2026-07-03;NuPS;GrIFK U23;3;0;
Finland;Kolmonen Southern Group 1;1;2026-07-23;HooGee;Poxyt;1;2;
Finland;Kolmonen Southern Group 1;2;2026-06-24;LePa;EPS Reservi;1;2;
Finland;Kolmonen Southern Group 1;2;2026-06-25;HooGee;EIF Academy;2;4;
Finland;Kolmonen Southern Group 1;2;2026-06-25;PPJ/Ruoholahti;NuPS;1;6;
Finland;Kolmonen Southern Group 1;2;2026-06-28;GrIFK U23;EsPa;4;2;
Finland;Kolmonen Southern Group 1;2;2026-06-28;Poxyt;MPS Old Stars;2;3;
Finland;Kolmonen Southern Group 1;3;2026-06-10;LePa;PPJ/Ruoholahti;3;1;
Finland;Kolmonen Southern Group 1;3;2026-06-12;EsPa;HooGee;3;0;
Finland;Kolmonen Southern Group 1;3;2026-06-16;Poxyt;LoPa;0;2;
Finland;Kolmonen Southern Group 1;3;2026-06-17;EPS Reservi;EIF Academy;2;9;
Finland;Kolmonen Southern Group 1;3;2026-06-17;MPS Old Stars;NuPS;0;2;
Finland;Kolmonen Southern Group 1;4;2026-06-10;Poxyt;NuPS;2;1;
Finland;Kolmonen Southern Group 1;4;2026-06-12;LoPa;GrIFK U23;1;2;
Finland;Kolmonen Southern Group 1;4;2026-06-14;EPS Reservi;MPS Old Stars;0;0;
Finland;Kolmonen Southern Group 1;5;2026-05-31;EPS Reservi;NuPS;1;1;
Finland;Kolmonen Southern Group 1;5;2026-06-04;PPJ/Ruoholahti;LoPa;3;0;
Finland;Kolmonen Southern Group 1;5;2026-06-05;EIF Academy;Poxyt;7;3;
Finland;Kolmonen Southern Group 1;5;2026-06-05;MPS Old Stars;HooGee;2;0;
Finland;Kolmonen Southern Group 1;5;2026-06-07;GrIFK U23;LePa;4;0;
Finland;Kolmonen Southern Group 1;6;2026-05-27;LePa;EIF Academy;3;2;
Finland;Kolmonen Southern Group 1;6;2026-05-28;PPJ/Ruoholahti;MPS Old Stars;0;0;
Finland;Kolmonen Southern Group 1;6;2026-05-29;EsPa;Poxyt;4;1;
Finland;Kolmonen Southern Group 1;6;2026-05-29;LoPa;HooGee;1;2;
Finland;Kolmonen Southern Group 1;7;2026-05-21;EIF Academy;EsPa;1;1;
Finland;Kolmonen Southern Group 1;7;2026-05-21;HooGee;GrIFK U23;2;1;
Finland;Kolmonen Southern Group 1;7;2026-05-22;MPS Old Stars;LePa;0;1;
Finland;Kolmonen Southern Group 1;7;2026-05-22;NuPS;LoPa;2;2;
Finland;Kolmonen Southern Group 1;7;2026-05-22;Poxyt;PPJ/Ruoholahti;3;0;
Finland;Kolmonen Southern Group 1;8;2026-05-07;PPJ/Ruoholahti;GrIFK U23;1;1;
Finland;Kolmonen Southern Group 1;8;2026-05-13;LePa;NuPS;3;3;
Finland;Kolmonen Southern Group 1;8;2026-05-15;EsPa;MPS Old Stars;4;0;
Finland;Kolmonen Southern Group 1;8;2026-05-15;LoPa;EIF Academy;2;3;
Finland;Kolmonen Southern Group 1;8;2026-05-17;EPS Reservi;HooGee;6;2;
Finland;Kolmonen Southern Group 1;9;2026-04-26;EPS Reservi;LoPa;0;1;
Finland;Kolmonen Southern Group 1;9;2026-05-03;GrIFK U23;MPS Old Stars;2;4;
Finland;Kolmonen Southern Group 1;9;2026-05-06;LePa;HooGee;3;1;
Finland;Kolmonen Southern Group 1;9;2026-05-07;EIF Academy;NuPS;0;2;
Finland;Kolmonen Southern Group 1;10;2026-04-22;LePa;Poxyt;1;1;
Finland;Kolmonen Southern Group 1;10;2026-04-26;GrIFK U23;EIF Academy;1;3;
Finland;Kolmonen Southern Group 1;10;2026-04-28;HooGee;PPJ/Ruoholahti;2;2;
Finland;Kolmonen Southern Group 1;11;2026-04-19;EPS Reservi;GrIFK U23;2;2;
Finland;Kolmonen Southern Group 1;11;2026-04-23;HooGee;NuPS;2;0;
Finland;Kolmonen Southern Group 1;11;2026-04-23;PPJ/Ruoholahti;EsPa;1;2;
Finland;Kolmonen Southern Group 1;12;2026-04-17;EIF Academy;PPJ/Ruoholahti;10;2;
Finland;Kolmonen Southern Group 1;12;2026-04-17;EsPa;LoPa;0;1;
Finland;Kolmonen Southern Group 1;12;2026-04-17;NuPS;MPS Old Stars;1;0;
Finland;Kolmonen Southern Group 1;12;2026-04-17;Poxyt;HooGee;3;1;
