Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Germany;Oberliga Hessen;1;2026-07-31;Fernwald;Stadtallendorf;2;0;
Germany;Oberliga Hessen;1;2026-07-31;Hadamar;Baunatal;2;1;
Germany;Oberliga Hessen;1;2026-08-01;Giessen;Kassel 2;0;2;
Germany;Oberliga Hessen;1;2026-08-01;Hummetroth;Friedberg;2;4;
Germany;Oberliga Hessen;1;2026-08-01;VfB Marburg;Alzenau;2;1;
Germany;Oberliga Hessen;1;2026-08-02;CSC 03 Kassel;Darmstadt U21;1;5;
Germany;Oberliga Hessen;1;2026-08-02;Eddersheim;Pohlheim;4;1;
Germany;Oberliga Hessen;1;2026-08-02;Hanauer SC;Hunfelder;3;4;
Germany;Oberliga Hessen;1;2026-08-02;RW Walldorf;Unter-Flockenbach;1;4;
Germany;Oberliga Hessen;2;2026-08-07;Hunfelder;VfB Marburg;0;1;
Germany;Oberliga Hessen;2;2026-08-08;Alzenau;Fernwald;1;1;
Germany;Oberliga Hessen;2;2026-08-08;Baunatal;Giessen;0;0;
Germany;Oberliga Hessen;2;2026-08-08;Darmstadt U21;Hadamar;1;1;
Germany;Oberliga Hessen;2;2026-08-08;Friedberg;RW Walldorf;1;0;
Germany;Oberliga Hessen;2;2026-08-08;Stadtallendorf;Eddersheim;1;1;
Germany;Oberliga Hessen;2;2026-08-08;Unter-Flockenbach;CSC 03 Kassel;6;0;
Germany;Oberliga Hessen;2;2026-08-09;Kassel 2;Hanauer SC;0;2;
Germany;Oberliga Hessen;2;2026-08-09;Pohlheim;Hummetroth;3;1;
Germany;Oberliga Hessen;3;2026-08-12;CSC 03 Kassel;Baunatal;3;1;
Germany;Oberliga Hessen;3;2026-08-12;Eddersheim;Friedberg;1;1;
Germany;Oberliga Hessen;3;2026-08-12;Fernwald;Pohlheim;1;1;
Germany;Oberliga Hessen;3;2026-08-12;Giessen;Hadamar;0;0;
Germany;Oberliga Hessen;3;2026-08-12;Hanauer SC;Alzenau;2;2;
Germany;Oberliga Hessen;3;2026-08-12;Hummetroth;Unter-Flockenbach;1;2;
Germany;Oberliga Hessen;3;2026-08-12;Kassel 2;Hunfelder;0;2;
Germany;Oberliga Hessen;3;2026-08-12;RW Walldorf;Darmstadt U21;1;4;
Germany;Oberliga Hessen;3;2026-08-12;VfB Marburg;Stadtallendorf;2;2;
Germany;Oberliga Hessen;4;2026-08-15;Fernwald;Hunfelder;1;3;
Germany;Oberliga Hessen;4;2026-08-15;Giessen;Hanauer SC;3;3;
Germany;Oberliga Hessen;4;2026-08-15;Hadamar;Unter-Flockenbach;4;3;
Germany;Oberliga Hessen;4;2026-08-15;Hummetroth;Stadtallendorf;0;5;
Germany;Oberliga Hessen;4;2026-08-15;VfB Marburg;Kassel 2;1;1;
Germany;Oberliga Hessen;4;2026-08-16;Baunatal;Darmstadt U21;1;1;
Germany;Oberliga Hessen;4;2026-08-16;CSC 03 Kassel;Friedberg;1;1;
Germany;Oberliga Hessen;4;2026-08-16;Eddersheim;Alzenau;2;1;
Germany;Oberliga Hessen;4;2026-08-16;RW Walldorf;Pohlheim;1;2;
Germany;Oberliga Hessen;5;2026-08-22;Alzenau;Hummetroth;1;1;
Germany;Oberliga Hessen;5;2026-08-22;Darmstadt U21;Giessen;3;0;
Germany;Oberliga Hessen;5;2026-08-22;Hanauer SC;VfB Marburg;0;1;
Germany;Oberliga Hessen;5;2026-08-22;Hunfelder;Eddersheim;4;2;
Germany;Oberliga Hessen;5;2026-08-22;Stadtallendorf;RW Walldorf;5;0;
Germany;Oberliga Hessen;5;2026-08-22;Unter-Flockenbach;Baunatal;3;1;
Germany;Oberliga Hessen;5;2026-08-23;Friedberg;Hadamar;0;3;
Germany;Oberliga Hessen;5;2026-08-23;Kassel 2;Fernwald;1;2;
Germany;Oberliga Hessen;5;2026-08-23;Pohlheim;CSC 03 Kassel;2;1;
Germany;Oberliga Hessen;6;2026-08-28;Darmstadt U21;Unter-Flockenbach;2;2;
Germany;Oberliga Hessen;6;2026-08-28;Fernwald;Hanauer SC;3;3;
Germany;Oberliga Hessen;6;2026-08-29;Baunatal;Friedberg;2;3;
Germany;Oberliga Hessen;6;2026-08-29;Giessen;VfB Marburg;1;3;
Germany;Oberliga Hessen;6;2026-08-29;Hadamar;Pohlheim;0;2;
Germany;Oberliga Hessen;6;2026-08-29;Hummetroth;Hunfelder;1;2;
Germany;Oberliga Hessen;6;2026-08-30;CSC 03 Kassel;Stadtallendorf;1;3;
Germany;Oberliga Hessen;6;2026-08-30;Eddersheim;Kassel 2;3;2;
Germany;Oberliga Hessen;6;2026-08-30;RW Walldorf;Alzenau;3;0;
