Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Germany;Oberliga Schleswig-Holstein;1;2026-07-31;PSV Neumunster;VfR Neumunster;0;3;
Germany;Oberliga Schleswig-Holstein;1;2026-08-01;Eckernforder SV;Lubeck II;4;2;
Germany;Oberliga Schleswig-Holstein;1;2026-08-01;Eichede;Kiel II;1;1;
Germany;Oberliga Schleswig-Holstein;1;2026-08-01;Flensburg;Oldenburger;7;1;
Germany;Oberliga Schleswig-Holstein;1;2026-08-01;Heider SV;Rapid Lubeck;1;3;
Germany;Oberliga Schleswig-Holstein;1;2026-08-01;Kaltenkirchen;Kilia Kiel;1;2;
Germany;Oberliga Schleswig-Holstein;1;2026-08-01;Phonix Lubeck B;Nordmark Satrup;4;2;
Germany;Oberliga Schleswig-Holstein;1;2026-08-01;Rotenhof;Hohenwestedt;4;3;
Germany;Oberliga Schleswig-Holstein;2;2026-08-04;Flensburg;Rotenhof;4;1;
Germany;Oberliga Schleswig-Holstein;2;2026-08-04;Hohenwestedt;PSV Neumunster;1;1;
Germany;Oberliga Schleswig-Holstein;2;2026-08-04;Kaltenkirchen;Eichede;1;0;
Germany;Oberliga Schleswig-Holstein;2;2026-08-04;Nordmark Satrup;Eckernforder SV;2;1;
Germany;Oberliga Schleswig-Holstein;2;2026-08-04;Oldenburger;Lubeck II;4;0;
Germany;Oberliga Schleswig-Holstein;2;2026-08-04;Rapid Lubeck;Phonix Lubeck B;3;1;
Germany;Oberliga Schleswig-Holstein;2;2026-08-04;VfR Neumunster;Kilia Kiel;1;1;
Germany;Oberliga Schleswig-Holstein;2;2026-08-05;Kiel II;Heider SV;5;1;
Germany;Oberliga Schleswig-Holstein;3;2026-08-07;Oldenburger;Rotenhof;2;2;
Germany;Oberliga Schleswig-Holstein;3;2026-08-07;PSV Neumunster;Flensburg;3;2;
Germany;Oberliga Schleswig-Holstein;3;2026-08-08;Eckernforder SV;Rapid Lubeck;2;3;
Germany;Oberliga Schleswig-Holstein;3;2026-08-08;Eichede;VfR Neumunster;1;2;
Germany;Oberliga Schleswig-Holstein;3;2026-08-08;Heider SV;Kaltenkirchen;3;2;
Germany;Oberliga Schleswig-Holstein;3;2026-08-08;Kiel II;Phonix Lubeck B;3;4;
Germany;Oberliga Schleswig-Holstein;3;2026-08-08;Kilia Kiel;Hohenwestedt;5;3;
Germany;Oberliga Schleswig-Holstein;3;2026-08-08;Lubeck II;Nordmark Satrup;2;4;
Germany;Oberliga Schleswig-Holstein;4;2026-08-14;Eckernforder SV;Kiel II;0;3;
Germany;Oberliga Schleswig-Holstein;4;2026-08-14;Hohenwestedt;Eichede;4;3;
