Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Germany;Regionalliga West;1;2026-07-31;Bonner;Oberhausen;1;2;
Germany;Regionalliga West;1;2026-08-01;Bergisch Gladbach;Wattenscheid;1;1;
Germany;Regionalliga West;1;2026-08-01;Bochum 2;Dortmund 2;1;1;
Germany;Regionalliga West;1;2026-08-01;Colonia 2;Wiedenbruck;2;1;
Germany;Regionalliga West;1;2026-08-01;Hilden;Bocholt;0;0;
Germany;Regionalliga West;1;2026-08-01;Lotte;FC Gutersloh;0;1;
Germany;Regionalliga West;1;2026-08-01;Monchengladbach 2;Rodinghausen;2;0;
Germany;Regionalliga West;1;2026-08-01;Schalke 2;Paderborn 2;2;3;
Germany;Regionalliga West;1;2026-08-01;Westfalia Rhynern;Siegen;3;2;
Germany;Regionalliga West;2;2026-08-07;Dortmund 2;Colonia 2;1;1;
Germany;Regionalliga West;2;2026-08-07;FC Gutersloh;Bochum 2;2;1;
Germany;Regionalliga West;2;2026-08-08;Bocholt;Schalke 2;4;5;
Germany;Regionalliga West;2;2026-08-08;Paderborn 2;Monchengladbach 2;1;3;
Germany;Regionalliga West;2;2026-08-08;Rodinghausen;Bonner;2;1;
Germany;Regionalliga West;2;2026-08-08;Siegen;Hilden;1;1;
Germany;Regionalliga West;2;2026-08-08;Wattenscheid;Westfalia Rhynern;1;2;
Germany;Regionalliga West;2;2026-08-09;Oberhausen;Lotte;0;0;
Germany;Regionalliga West;2;2026-08-09;Wiedenbruck;Bergisch Gladbach;1;3;
Germany;Regionalliga West;3;2026-08-14;Bergisch Gladbach;Dortmund 2;1;3;
Germany;Regionalliga West;3;2026-08-14;Bonner;Lotte;2;2;
Germany;Regionalliga West;3;2026-08-14;Schalke 2;Siegen;2;0;
Germany;Regionalliga West;3;2026-08-14;Westfalia Rhynern;Wiedenbruck;2;2;
Germany;Regionalliga West;3;2026-08-15;Bochum 2;Oberhausen;1;2;
Germany;Regionalliga West;3;2026-08-15;Hilden;Wattenscheid;2;0;
Germany;Regionalliga West;3;2026-08-15;Monchengladbach 2;Bocholt;2;3;
Germany;Regionalliga West;3;2026-08-15;Rodinghausen;Paderborn 2;1;1;
Germany;Regionalliga West;3;2026-08-16;Colonia 2;FC Gutersloh;0;3;
Germany;Regionalliga West;4;2026-08-21;Siegen;Monchengladbach 2;0;0;
Germany;Regionalliga West;4;2026-08-21;Wattenscheid;Schalke 2;3;0;
Germany;Regionalliga West;4;2026-08-22;Bocholt;Rodinghausen;2;2;
Germany;Regionalliga West;4;2026-08-22;FC Gutersloh;Bergisch Gladbach;3;1;
Germany;Regionalliga West;4;2026-08-22;Oberhausen;Colonia 2;1;2;
Germany;Regionalliga West;4;2026-08-22;Wiedenbruck;Hilden;1;1;
Germany;Regionalliga West;4;2026-08-23;Lotte;Bochum 2;0;1;
Germany;Regionalliga West;4;2026-08-23;Paderborn 2;Bonner;1;1;
Germany;Regionalliga West;4;2026-08-29;Monchengladbach 2;Wattenscheid;4;1;
Germany;Regionalliga West;5;2026-08-28;Bonner;Bochum 2;3;3;
Germany;Regionalliga West;5;2026-08-28;Rodinghausen;Siegen;1;2;
Germany;Regionalliga West;5;2026-08-28;Westfalia Rhynern;FC Gutersloh;1;1;
Germany;Regionalliga West;5;2026-08-29;Bergisch Gladbach;Oberhausen;0;4;
Germany;Regionalliga West;5;2026-08-29;Colonia 2;Lotte;2;2;
Germany;Regionalliga West;5;2026-08-29;Hilden;Dortmund 2;0;2;
Germany;Regionalliga West;5;2026-08-29;Paderborn 2;Bocholt;2;4;
Germany;Regionalliga West;5;2026-08-29;Schalke 2;Wiedenbruck;4;1;
Germany;Regionalliga West;6;2026-09-01;Bocholt;Bonner;2;2;
Germany;Regionalliga West;6;2026-09-01;Bochum 2;Colonia 2;0;4;
Germany;Regionalliga West;6;2026-09-01;Dortmund 2;Schalke 2;3;1;
Germany;Regionalliga West;6;2026-09-01;FC Gutersloh;Hilden;6;0;
Germany;Regionalliga West;6;2026-09-01;Oberhausen;Westfalia Rhynern;4;1;
