Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Islanda;Division 2;1;2026-05-01;Fjolnir;Magni;4;1;
Islanda;Division 2;1;2026-05-01;Olafsvik;Hviti;3;3;
Islanda;Division 2;1;2026-05-01;Throttur Vogar;Haukar;2;1;
Islanda;Division 2;1;2026-05-02;Dalvik/Reynir;Kormakur/Hvot;1;0;
Islanda;Division 2;1;2026-05-02;Kari;KFG Gardabaer;5;1;
Islanda;Division 2;1;2026-05-02;Selfoss;KFA;2;4;
Islanda;Division 2;1;2026-06-26;Throttur Vogum;Fjoelnir;3;2;
Islanda;Division 2;2;2026-05-09;Fjolnir;Dalvik/Reynir;2;1;
Islanda;Division 2;2;2026-05-09;Haukar;Magni;6;1;
Islanda;Division 2;2;2026-05-09;Hviti;Selfoss;1;1;
Islanda;Division 2;2;2026-05-09;KFA;Kari;2;4;
Islanda;Division 2;2;2026-05-09;KFG Gardabaer;Throttur Vogar;3;1;
Islanda;Division 2;2;2026-05-09;Olafsvik;Kormakur/Hvot;0;2;
Islanda;Division 2;3;2026-05-14;Throttur Vogar;KFA;2;0;
Islanda;Division 2;3;2026-05-15;Haukar;Fjolnir;3;1;
Islanda;Division 2;3;2026-05-15;Kari;Hviti;0;0;
Islanda;Division 2;3;2026-05-16;KFG Gardabaer;Magni;1;2;
Islanda;Division 2;3;2026-05-16;Olafsvik;Dalvik/Reynir;2;1;
Islanda;Division 2;3;2026-05-16;Selfoss;Kormakur/Hvot;2;1;
Islanda;Division 2;4;2026-05-21;KFG Gardabaer;Haukar;0;4;
Islanda;Division 2;4;2026-05-23;Dalvik/Reynir;Selfoss;2;2;
Islanda;Division 2;4;2026-05-23;Fjolnir;Olafsvik;5;1;
Islanda;Division 2;4;2026-05-23;Hviti;Throttur Vogar;2;0;
Islanda;Division 2;4;2026-05-23;KFA;Magni;4;0;
Islanda;Division 2;4;2026-05-23;Kormakur/Hvot;Kari;4;1;
Islanda;Division 2;5;2026-05-31;Haukar;KFA;3;2;
