Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Indonesia;Super League;1;2026-09-04;Arema;Isenmulang Kalteng;4;0;
Indonesia;Super League;1;2026-09-04;Bali United;PSS Sleman;2;1;
Indonesia;Super League;1;2026-09-05;Borneo;Persija Jakarta;0;1;
Indonesia;Super League;1;2026-09-05;FC Bhayangkara;Persebaya;1;1;
Indonesia;Super League;1;2026-09-05;PSIM Yogyakarta;Persita;1;1;
Indonesia;Super League;1;2026-09-05;Persik Kediri;Dewa United;0;1;
Indonesia;Super League;1;2026-09-06;Java United;Garudayaksa;1;1;
Indonesia;Super League;1;2026-09-06;Madura United;Persijap Jepara;2;0;
Indonesia;Super League;1;2026-09-06;Persib;PSM Makassar;3;1;
Indonesia;Super League;2;2026-09-11;Dewa United;FC Bhayangkara;2;2;
Indonesia;Super League;2;2026-09-11;Garudayaksa;Persik Kediri;0;2;
Indonesia;Super League;2;2026-09-12;Bali United;Isenmulang Kalteng;4;1;
Indonesia;Super League;2;2026-09-12;PSS Sleman;Madura United;1;3;
Indonesia;Super League;2;2026-09-12;Persija Jakarta;Persib;2;1;
Indonesia;Super League;2;2026-09-12;Persijap Jepara;Borneo;0;1;
Indonesia;Super League;2;2026-09-13;PSM Makassar;Arema;3;3;
Indonesia;Super League;2;2026-09-13;Persebaya;PSIM Yogyakarta;1;0;
Indonesia;Super League;2;2026-09-13;Persita;Java United;3;2;
Indonesia;Super League;3;2026-09-16;Borneo;Dewa United;1;3;
Indonesia;Super League;3;2026-09-18;Arema;Persik Kediri;1;1;
Indonesia;Super League;3;2026-09-18;Madura United;PSIM Yogyakarta;2;1;
