Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Japan;J1 League;1;2026-08-07;G-Osaka;Urawa;4;3;
Japan;J1 League;1;2026-08-07;Yokohama M.;Kashima;3;4;
Japan;J1 League;1;2026-08-08;Avispa Fukuoka;Kobe;0;1;
Japan;J1 League;1;2026-08-08;C-Osaka;Okayama;2;1;
Japan;J1 League;1;2026-08-08;Hiroshima;Chiba;3;0;
Japan;J1 League;1;2026-08-08;Kashiwa;Mito;2;1;
Japan;J1 League;1;2026-08-08;Nagoya;Shimizu;0;1;
Japan;J1 League;1;2026-08-08;Tokyo;Machida;1;5;
Japan;J1 League;1;2026-08-09;V-Varen Nagasaki;Kyoto;2;1;
Japan;J1 League;1;2026-08-09;Verdy;Kawasaki;1;1;
Japan;J1 League;2;2026-08-14;Verdy;Kashiwa;1;3;
