Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Mexico;Liga MX - Apertura;1;2026-07-17;Necaxa;Atlante;2;1;
Mexico;Liga MX - Apertura;1;2026-07-17;Tijuana;Tigres;3;1;
Mexico;Liga MX - Apertura;1;2026-07-18;Atl. San Luis;Cruz Azul;2;3;
Mexico;Liga MX - Apertura;1;2026-07-18;Juarez;Puebla;0;1;
Mexico;Liga MX - Apertura;1;2026-07-18;Leon;Atlas;2;3;
Mexico;Liga MX - Apertura;1;2026-07-19;Guadalajara;Toluca;0;2;
Mexico;Liga MX - Apertura;1;2026-07-19;Monterrey;Santos Laguna;3;2;
Mexico;Liga MX - Apertura;1;2026-07-19;Queretaro;Club America;0;1;
Mexico;Liga MX - Apertura;1;2026-07-19;U.N.A.M.;Pachuca;0;3;
Mexico;Liga MX - Apertura;2;2026-07-22;Cruz Azul;Puebla;2;1;
Mexico;Liga MX - Apertura;2;2026-07-22;Toluca;U.N.A.M.;1;2;
Mexico;Liga MX - Apertura;2;2026-07-25;Atlante;Club America;1;1;
Mexico;Liga MX - Apertura;2;2026-07-25;Tijuana;Leon;1;0;
Mexico;Liga MX - Apertura;2;2026-07-26;Guadalajara;Juarez;1;0;
Mexico;Liga MX - Apertura;2;2026-07-26;Santos Laguna;Atlas;0;1;
Mexico;Liga MX - Apertura;2;2026-07-26;Tigres;Atl. San Luis;2;2;
Mexico;Liga MX - Apertura;2;2026-07-28;Necaxa;Monterrey;2;1;
Mexico;Liga MX - Apertura;2;2026-07-28;Pachuca;Queretaro;1;2;
Mexico;Liga MX - Apertura;3;2026-08-01;Atl. San Luis;Tijuana;0;0;
Mexico;Liga MX - Apertura;3;2026-08-01;Juarez;U.N.A.M.;1;5;
Mexico;Liga MX - Apertura;3;2026-08-01;Puebla;Guadalajara;1;1;
Mexico;Liga MX - Apertura;3;2026-08-02;Atlas;Monterrey;0;2;
Mexico;Liga MX - Apertura;3;2026-08-02;Cruz Azul;Atlante;2;3;
Mexico;Liga MX - Apertura;3;2026-08-02;Leon;Pachuca;1;0;
Mexico;Liga MX - Apertura;3;2026-08-02;Queretaro;Tigres;3;2;
Mexico;Liga MX - Apertura;3;2026-08-03;Club America;Santos Laguna;3;0;
Mexico;Liga MX - Apertura;3;2026-08-03;Toluca;Necaxa;2;3;
Mexico;Liga MX - Apertura;4;2026-08-16;Atlante;Toluca;0;0;
Mexico;Liga MX - Apertura;4;2026-08-16;Atlas;Tigres;2;1;
Mexico;Liga MX - Apertura;4;2026-08-16;Monterrey;Juarez;6;1;
Mexico;Liga MX - Apertura;4;2026-08-16;U.N.A.M.;Queretaro;0;0;
Mexico;Liga MX - Apertura;4;2026-08-17;Club America;Atl. San Luis;3;0;
Mexico;Liga MX - Apertura;4;2026-08-17;Santos Laguna;Guadalajara;0;1;
Mexico;Liga MX - Apertura;4;2026-08-17;Tijuana;Cruz Azul;2;1;
Mexico;Liga MX - Apertura;4;2026-08-18;Necaxa;Leon;1;2;
Mexico;Liga MX - Apertura;4;2026-08-18;Pachuca;Puebla;2;3;
Mexico;Liga MX - Apertura;5;2026-08-22;Juarez;Club America;1;2;
Mexico;Liga MX - Apertura;5;2026-08-22;Leon;Monterrey;2;0;
Mexico;Liga MX - Apertura;5;2026-08-22;Queretaro;Toluca;1;2;
Mexico;Liga MX - Apertura;5;2026-08-22;Tigres;Atlante;2;0;
Mexico;Liga MX - Apertura;5;2026-08-23;Cruz Azul;Atlas;0;2;
Mexico;Liga MX - Apertura;5;2026-08-23;Guadalajara;Tijuana;5;2;
Mexico;Liga MX - Apertura;5;2026-08-23;Puebla;Santos Laguna;3;2;
Mexico;Liga MX - Apertura;5;2026-08-24;Atl. San Luis;Pachuca;1;1;
Mexico;Liga MX - Apertura;5;2026-08-24;U.N.A.M.;Necaxa;1;1;
Mexico;Liga MX - Apertura;6;2026-08-29;Atlante;Leon;1;1;
Mexico;Liga MX - Apertura;6;2026-08-29;Necaxa;Cruz Azul;1;3;
Mexico;Liga MX - Apertura;6;2026-08-29;Tijuana;U.N.A.M.;2;0;
Mexico;Liga MX - Apertura;6;2026-08-30;Atlas;Queretaro;1;3;
Mexico;Liga MX - Apertura;6;2026-08-30;Club America;Puebla;2;0;
Mexico;Liga MX - Apertura;6;2026-08-30;Pachuca;Guadalajara;1;1;
Mexico;Liga MX - Apertura;6;2026-08-30;Santos Laguna;Tigres;0;0;
Mexico;Liga MX - Apertura;6;2026-08-31;Monterrey;Atl. San Luis;1;3;
Mexico;Liga MX - Apertura;6;2026-08-31;Toluca;Juarez;4;0;
